;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96100;아랍인 반란;The Arab Revolt;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96100;$COUNTRY$의 통치에 대한 분노로 인해 마쉬르키인 사이에 민족주의의 물결이 퍼지기 시작했습니다. 그 지역의 총독들은 긴장하고 있으며, 매우 조심하지 않는 이상 수년 안에 큰 반란이 일어날 것이라 보고했습니다.;A wave of nationalism has begun to spread among the Mashriqi, fueled by their resentment over $COUNTRY$ rule. Our governors in the region are understandably nervous, and report that we can expect major rebellions in the coming years unless we are very careful.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME96101;$COUNTRY$ 민족자결주의;$COUNTRY$ Self-Rule;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96101;민족자결주의에 따라 자치를 부여받았습니다.;We have been granted self-rule by our $FROMCOUNTRY$ rulers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96102;아랍인 반란이 시작되자, $CAPITAL$ 내 많은 사람들이 반란의 깃발을 들었습니다. 그들은 외국인 통치에 대한 자유를 요구하고 있습니다.;The Arab Revolt has begun, and many people in $CAPITAL$ are flying the revolt flag. They are demanding freedom from foreigner rule, and we will have difficulty keeping them under control... provided that's what we wish to do, of course.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME96105;아랍인 반란 종결;End of the Arab Revolt;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96105;$COUNTRY$ 내 아랍인들이 일으켰던 폭동이 끝났습니다. 평화가 돌아왔으며 아랍인 저항의 탄력도 사라졌습니다.;The general insurgency by $COUNTRY$'s Arab population has been brought to an end. For the moment, peace has been restored and the momentum of the Arab resistance dissolved.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME96110;사우드 가문의 귀환;The House of Saud Returns;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96110;사우드 가문의 자손인 압둘 아지즈가 쿠웨이트로 망명했다가 귀환했습니다. 뿐만 아니라 그가 남부 베두인 부족과 동맹을 맺고 리야드를 되찾았습니다. 사우드의 아들이 더 많은 땅을 되찾아 이전의 승리를 물거품으로 되돌리지 않도록 빨리 대처해야 합니다.;Abdul-Aziz, scion of the House of Saud, has returned from exile in Kuwait. Not only that, the man has managed to forge an alliance with the southern Bedouin tribes and retaken Riyadh. We must deal with ibn Saud quickly, lest he retake even more land and reverse our earlier victory over his house.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME96115;헤자즈 통치;The Rule of Hedjaz;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96115;우리는 지금까지 이집트와 오스만 중 누구를 섬길지를 고민해왔습니다. 선택을 내릴 시간입니다.;We have always been torn between our loyalty to Egypt and to the Ottoman Empire. The time has come to decide between them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96120;라시드 가문;The House of Rashid;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96120;하일 토후국이 존재하는 한 사우드 가문은 절대 아라비아 반도를 통일하지 못할 것입니다. 이제 병력을 배치하여 그들을 굴복시켜야 합니다.;The House of Saud will never unite Arabia so long as the Emirate of Ha'il stands on our northern border. We must marshal our force and bring them to their knees.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96121;사우드 가문;The House of Saud;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96121;네지드 토후국이 존재하는 한 라시드 가문은 절대 아라비아 반도를 통일하지 못할 것입니다. 이제 병력을 배치하여 그들을 굴복시켜야 합니다.;The House of Rashid will never unite Arabia so long as the Emirate of Nejd stands on our southern border. We must marshal our force and bring them to their knees.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96165;이탈리아 통일;Italian Unification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96165;이탈리아인들은 다른 나라의 이권을 빼앗으면서 마침내 통일에 다다랐습니다. 우리는 새 지배자들을 어떻게 대할지 결정해야 합니다. 이 결정은 돌이킬 수 없으며, 결정에 따라 통일 이탈리아는 무서운 적 또는 강력한 동맹국이 될 것입니다.;The Italians have managed to unify at long last, threatening $COUNTRY$ interests in the region. We will have to decide whether it is in our best interests to object or to make friends with the new rulers. What has been done cannot now be undone, after all, and a united Italy could be a formidable enemy or a powerful $COUNTRY$ ally.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME96170;리소르지멘토;Il Risorgimento;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96170;$COUNTRY$이(가) 통일을 외치는 이탈리아 민족주의의 중심지로 거듭났습니다. 이탈리아 국기가 $CAPITAL$의 거리에 나부끼고 있습니다. 이 부름을 지지해 이탈리아 전역을 우리의 깃발 아래 평화롭게 만들지를 결정해야 합니다. 거절하면 우리 국민들이 속상해할 것입니다... 그리고 이런 기회가 다시 올 것 같지는 않습니다.;$COUNTRY$ has become the center of Italian nationalism, its people calling out for unification. Italian flags are flying in the streets of $CAPITAL$, and we must decide if we wish to support this call and bring all of Italy peacefully under our banner. If we refuse, our people will be upset... and it's unlikely the opportunity will arise again.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME96215;인도 민족주의자 승리!;Indian Nationalists Victorious!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96215;민족주의자들이 $COUNTRY_ADJ$ 인도 식민지를 인수했습니다. 우리 총독들은 쫓겨났고 영토도 사라졌습니다.;Nationalists have succeedeed in taking over $COUNTRY_ADJ$ colonies in India. Our governors have been driven out and our territory lost.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97000;마리아 드 폰트 혁명;The Revolution of Maria da Fonte;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97000;포르투갈의 빈민 사이에서 집권정부에 대한 불만이 증가해왔고, 이 불만은 교회 내 매장 금지로 인해 대중적으로 폭발했습니다. 초기 봉기의 선동자는 마리아라는 이름의 여성입니다. 그리고 그녀의 이름은 이 봉기를 대표하는 이름으로 자리잡았습니다. 마리아 봉기는 유럽 다른 지역의 봉기를 모방했으며, 수많은 농민 여성들이 참여했습니다.;A growing dissatisfaction with the ruling government among Portugal's poor has grown into rebellion, spurred on by popular discontent with the prohibition against burials inside churches. The instigator of the initial riots is a woman by the name of Maria, and her nickname has come to be used to represent the rebellion -- which has a large contingent of peasant women among its supporters -- and which has been co-opted by revolutionaries in emulation of the rebellions elsewhere in Europe.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97001;$PROVINCENAME$ 소작농 반란;Peasant Revolt in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97001;마리아 드 폰트 반란이 $PROVINCENAME$에도 퍼지자 하층민들은 집권 정부에 반대해 봉기했습니다. 많은 사람들이 정부의 사임을 요구하고 있으며, 마리아 2세 여왕이 질서를 회복하기 위해 정변을 꾀한다는 징후가 나타났습니다.;The Maria de Fonte rebellion has spread to $PROVINCENAME$, with the lower classes rising up in opposition to the ruling government. Many are calling for the government's resignation, and there are signs that Queen Maria II may engineer a coup to restore order.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97002;혁명의 끝;End of the Revolution;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97002;포르투갈군이 농촌의 질서를 회복하면서 정변이 끝났습니다.;Portuguese forces have managed to restore order in the countryside, and the peasantry have been brought back under control. The danger of a royal coup has ended.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97003;계략;The Emboscada;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97003;포르투갈의 반란이 확산됨에 따라, 마리아 2세 여왕은 정부를 해산하고 제1대 살다나 공작 주앙 카를루스 드 살다냐 올리베이라 이 다웅이 주재하는 반동주의 정부를 수립했습니다. 이 사건은 포르투갈 자유주의자들의 분노를 불러일으켜 그들이 내전에 대한 논의를 시작하도록 만들었습니다.;Spurred on by the spreading revolts in Portugal, Queen Maria II has suspended the constitution and installed a reactionary government presided over by Jo? Francisco de Saldanha Oliveira e Daun, 1st Duke of Saldanha. This has served to spur on the country's liberals to outrage, and begun talk of civil war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97006;앙골라 점령;The Occupation of Angola;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97006;우리 군이 앙골라의 시골 지역을 서서히 진압하고 있습니다. 운이 좋다면 언젠가 아프리카 식민지를 연결할 수 있을 것입니다.;Our forces are slowly pacifying the Angolan countryside. If we are fortunate, we will one day be able to connect our African colonies.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97007;모잠비크 점령;The Occupation of Mozambique;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97007;우리 군이 모잠비크의 시골 지역을 서서히 진압하고 있습니다. 운이 좋다면 언젠가 아프리카 식민지를 연결할 수 있을 것입니다.;Our forces are slowly pacifying the Mozambican countryside. If we are fortunate, we will one day be able to connect our African colonies.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97010;포르투갈령 식민지;The Portuguese Colonies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97010;$FROMCOUNTRY$이(가) 앙골라와 모잠비크 사이의 식민지를 포기하지 않으면 그 결과를 감수하게 될 것이라고 최후통첩을 보내왔습니다. 포르투갈 사람들은 이를 $FROMCOUNTRY$의 믿을 수 없는 배신이라 여깁니다. 그들은 전통적인 동맹국이었습니다. 그러던 그들이 지금 정당한 식민지배를 방해하는 건가요? 견딜 수 없습니다!;We have received an ultimatum from $FROMCOUNTRY$: surrender our colonies between Angola and Mozambique or suffer the consequences. The Portuguese people feel this is an incredible betrayal by the $FROMCOUNTRY$. They have traditionally been our ally, and now they are trying to bully our rightful colonial holdings out of us? It cannot be borne!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97011;$FROMCOUNTRY$의 최후통첩 수락;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97011;$FROMCOUNTRY$이(가) 우리의 제안에 동의했습니다. 그러나 그들의 표정이 내심 불편해보입니다.;$FROMCOUNTRY$ has agreed to our terms -- though they are unhappy about it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97012;$FROMCOUNTRY$의 최후통첩 거부;$FROMCOUNTRY$ Has Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97012;$FROMCOUNTRY$이(가) 최후통첩을 거부했습니다. 이제 전쟁을 통해 그들의 식민지를 빼앗을 때입니다.;$FROMCOUNTRY$ has refused our ultimatum, and all but dared $COUNTRY$ to take their colonies from them -- if we can.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97015;카를루스 1세 시해;Regicide of King Carlos I;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97015;리스본에서 알마다까지 여행을 가기 위해 코메르시우 광장을 지나던 카를루스 1세는 두 공화당 운동가 알프레두 루이스와 다 코스타와 마누엘 부이사와 조우했습니다. 전직 기병 중사이자 사격의 명수였던 부이사는 숨겨둔 권총으로 카를루스를 향해 5발의 총을 쏴 그를 즉사시켰습니다. 경찰은 그들을 즉각 사살했습니다. 그러나 루이스 필리프 왕자는 팔에 총을 맞아 20분 후에 사망했으며, 차남 마누엘 왕자는 부상을 입었습니다. 사건 이후 왕의 막내아들인 마누엘 왕자가 포르투갈의 새로운 국왕으로 즉위했습니다.;Upon returning to Lisbon from a brief trip abroad, King Carlos I and the royal family had their carriage fired upon by republican activists as they passed through the Terreiro do Pa?. Three of the bullets struck and killed the King, while another fatally wounded the heir to the throne, Luis Filipe. During the turmoil, the police killed the assassins... but the King and the royal heir were not saved and were pronounced dead at the Naval Arsenal soon afterwards. Manuel, the king's youngest son, has been quickly acclaimed as the new King of Portugal.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME97020;공화주의자 정변;The Republican Coup D'Etat;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97020;카를루스 국왕의 암살로 왕권이 약화되면서 공화주의자들은 수도 리스본에서 상당한 지지를 모았습니다. 카를루스 국왕을 암살한 비밀결사 카르보나리아의 단원, 공화당원, 그리고 일부 군인들이 정변을 일으켰습니다. 어린 마누엘 국왕과 그 일가는 탈출해 영국으로 망명했고, 불과 며칠 뒤 리스본에서는 포르투갈 민주공화국을 선포했다고 합니다.;With the monarchy already weakened by the death of King Carlos, republican opponents have been able to gather considerable support in the capital. Members of the Carbon?ia, republican youth, and elements of the army have instigated a coup d'?at in the palace. The young King Manuel and his family have reportedly escaped for exile to England, and only days later a new Portuguese Republic has been declared in Lisbon.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME97050;페루-볼리비아 연방;The Peru-Bolivian Confederation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97050;페루, 남페루, 볼리비아의 연방은 우리 이익에 위협이 됩니다. 그들은 $COUNTRY$의 우호국이 아니며, 연방이 견고해질 시간이 주어진다면 쉽게 남아메리카의 새로운 강국으로 자리잡을 것입니다. 다행히도 연방이 불안정하다는 징후가 있습니다. 페루인들이 볼리비아 지도부에 염증을 내고 있으니 충분한 보상을 제공한다면 탈퇴할 가능성이 있습니다. 지금 조치를 취한다면, 그들을 동요시킬 수 있습니다.;The confederation of Peru, South Peru and Bolivia represents a threat to our interests. If the confederation is given time to solidify, they could easily become a new powerhouse in South America -- and one that is no friend to $COUNTRY$. Thankfully there are signs that the confederation is unstable: the Peruvians chafe at the Bolivian leadership, and given enough incentive they might withdraw. If we act now, we might be able to stir our people against them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME97055;연방 해체?;End of the Confederation?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97055;최근 $COUNTRY$의 국력이 손실을 입은 가운데, 연방에 대한 신뢰가 무너졌습니다. 이제 연방을 유지하려면 힘으로 해결해야만 합니다.;With the recent losses suffered by $COUNTRY$ forces, confidence in the confederation has eroded. If we attempt to keep it together, we must do so by force.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97060;우루과이 위기;The Uruguayan Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97060;브라질은 전통적으로 우루과이의 내정에 개입할 권리를 가져왔습니다. 하지만 최근 수개월 동안 보수적인 블랑코당 정부는 점점 더 타협을 거부해왔습니다. 자유주의 콜로라도당의 반군 지도자인 베난시오 플로레스가 자신을 권좌에 앉힌다면 브라질은 우루과이라는 확고한 동맹을 얻을 것이라며 동맹을 제안했습니다.;Brazil has traditionally held the right to intervene in Uruguayan internal affairs as it sees fit, but in recent months the conservative Blanco government has proven to be increasingly intransigent. The rebel leader of the liberal Colorados, Venancio Flores, has approached us with the offer of an alliance: place him in power and Brazil has a firm ally in Uruguay once again.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97061;$FROMCOUNTRY$의 최후통첩;The $FROMCOUNTRY$ Ultimatum;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97061;최근의 브라질과의 수차례에 걸친 정치적 충돌 후, 그들은 최후통첩을 보냈습니다. 콜로라도의 반군 지도자를 정부에 배치하지 않으면 선전포고를 하겠다는 것입니다. 정부에서는 브라질이 만만히 않다고 느끼는 사람들이 많습니다. 우루과이는 위협이 되지 않으며, 다른 남아메리카 국가들이 침략행위에 분노할 위험을 감수해야 합니다. 그러니 이 모욕적인 최후통첩을 거부해야 합니다.;After several recent political conflicts with Brazil, they have sent an ultimatum: place the rebel leader of the Colorados in charge of the government or there will be war. There are many in the government who feel that Brazil cannot be serious. Uruguay is no threat, and they would risk angering the Platine nations with an invasion? This insulting ultimatum should be refused, according to them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97062;우루과이의 최후통첩 거부;Uruguay Rejects the Ultimatum;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97062;우루과이 정부가 우리의 요구를 거부했습니다. 아마도 우리의 의지를 과소평가한 것 같습니다.;The Uruguayan government has rejected our demands. Perhaps they underestimate our willingness to see this matter to a swift end.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97065;항복;We Must Submit;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97065;항복하라는 브라질의 요구를 받아들일 수 밖에 없습니다. 콜로라도당이 승리했습니다.;We have no choice but to submit to the Brazilian demands. The Colorados are victorious.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97066;블랑코당 항복;The Blancos Have Surrendered;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97066;우루과이 정부가 우리 요구에 굴복했습니다.;The government of Uruguay has given in to our demands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97070;노예 낙인;La Carta de la Esclavitud;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97070;많은 사람들이 공화국의 대통령이자 건국자로 여기는 후안 호세 플로레스 장군이 자신의 인기 하락에 선거 부정과 1835년 헌법의 무효화로 대응했습니다. '노예 낙인'이라는 별명을 가진 이 새로운 헌법은 분명 수많은 자유주의자 대중들을 분노하게 할 것입니다.;General Juan Jos?Flores, the president of the republic and considered by many to be its founder, has responded to his falling popularity by engaging in voting irregularities and seeking to annul the 1835 constitution in order to remain in power. This new constitution, nicknamed the 'Carta de la Esclavitud' (or the 'letter of slavery') would anger a great number of the country's liberal populace.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97075;보수주의의 시대;The Era of Conservatism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97075;에콰도르 보수주의의 아버지로 불리는 가브리엘 가르시아 모레노가 이 위기의 시기에 집권했습니다. 어떤 사람들에게는 그가 바로 어려운 시기를 헤쳐나가는데 필요한 사람입니다. 반면 다른 사람들에게 그는 폭군입니다. 어느 경우이든 간에 모레노는 이제 철권통치로 에콰도르를 통치합니다.;Gabriel Garc? Moreno, called the father of Ecuadorian conservatism, has risen to power during a time of crisis. To some, he is exactly what the country needs to see it through these troubled times. To others he is a tyrant. In either case, Moreno now rules Ecuador with an iron fist.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME97076;타라우아카 정착;Settling Tarauaca;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97076;아마존 중심부에 위치한 타라우아카 정글은 행정상으로 $COUNTRY$에 속합니다. 이미 국내에는 이 지역에 정착할 기회를 열망하는 사람들이 여럿 있습니다. 그들은 지원금을 정부에 요청하고 있습니다. 하지만 고문들의 주장에 따르면, 이 지역에 영유권을 주장하는 인접국들과 마찰을 일으킬 수 있다고 합니다.;The jungles of Tarauaca lie in the heart of the Amazon, and rightfully belong to $COUNTRY$. Currently there are $COUNTRY$ settlers eager for the opportunity to settle the region and have asked for the funds to assist them, though advisors say this may cause problems with neighboring states who also claim the territory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97080;아라우카니아 점령;Occupation of Araucania;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97080;칠레군이 대륙 남쪽의 공백지를 점령했습니다. 지역 원주민들과의 평화도 여전합니다.;Chilean forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97085;사막 정복;Conquest of the Desert;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97085;아르헨티나군이 대륙 남쪽의 공백지를 점령했습니다. 지역 원주민들과의 평화도 여전합니다.;Argentinian forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97086;$PROVINCENAME$ 평정;Pacification of $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97086;적절한 무력 사용을 통해 원주민의 토지를 몰수해 도로를 깔고, 타 문명의 발자취를 소개함으로써 $PROVINCENAME$의 상태를 크게 개선했습니다. 원주민들이 논쟁을 벌이는 것으로 밝혀지기도 했지만, 숫자가 너무 적어 걱정하기에는 기우같습니다.;Through the judicious use of force, confiscation of native lands and the introduction of roads and other vestiges of civilization, conditions in $PROVINCENAME$ have greatly improved. The natives are proving to be contentious, but their numbers are far too few for us to worry about.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97090;아르헨티나-칠레 국경조약;The Argentina-Chile Border Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97090;아라우카니아와 파타고니아에 사람들이 완전히 정착했습니다. 그러자 아르헨티나 정부가 국경조약을 마련하자며 접근해왔습니다. 그들은 안데스산맥의 동쪽을 가져가고 그 대가로 서쪽을 양보하려 합니다. 만약 우리가 합의에 이르지 못한다면, 미래의 갈등은 거의 보장됩니다.;Now that the lands of Araucania and Patagonia are fully settled, the Argentinians have approached us to work out a border treaty. They intend to claim the lands east of the Andes and are willing to concede the lands east of the Andes to us. If we do not come to an agreement, future conflict is almost guaranteed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97100;$STATENAME$의 $PROVINCECULTURE$인 반란;$PROVINCECULTURE$ Rebellion in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97100;$PROVINCECULTURE$ 지도부와 $COUNTRY$의 $PROVINCENAME$ 공무원 간의 분쟁이 폭동으로 폭발했고, 곧 $STATENAME$ 전역으로 빠르게 습니다. $COUNTRY$군이 최선을 다해 반란을 진압하고 있지만, 반란이 계속된다면 훨씬 더 큰 문제로 발전할 수 있다는 두려움은 여전합니다.;A dispute between local $PROVINCECULTURE$ leaders and $COUNTRY$ officials in $PROVINCENAME$ has exploded into a riot, and the violence quickly spread throughout $STATENAME$. The $COUNTRY$ army is stamping out the rebellion as best it can, but fears persist that this could develop into a much larger problem if it continues.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97105;외세의 지배에 대항한 반란;Rebellion Against Foreign Rule;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97105;국내 귀족들과 외국 총독 사이의 분쟁이 $CAPITAL$에서의 폭동으로 폭발했습니다. 많은 국민들은 압제자들의 굴레에서 벗어나고 싶어하며, 앞으로 다가올 외국군과의 싸움에서 싸울 준비를 끝냈습니다. 그러나 국내가 전쟁터가 될 수 있다는 사실은 별로 만족스럽지 않습니다.;A dispute between $COUNTRY$ aristocrats and a foreign governor has exploded into a riots in $CAPITAL$. Many $COUNTRY$ citizens wish to see $COUNTRY$ freed from the yoke of its oppressor, and are ready to rise up and fight against the foreign armies that are sure to come. The idea that $COUNTRY$ may become a battleground pleases few, however.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97110;인도 민족주의의 방아쇠;The Stirrings of Indian Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97110;인도 사람들은 다양하게 아대륙 전역에 걸쳐 수많은 문화와 언어로 이루어져 있습니다. 무력을 제외하고 모든 문화적 경계를 초월한 단일연합을 수립할 수 있다고 진지하게 믿은 사람은 거의 없었습니다. 최근 국내 인도 민족주의자들이 진정한 연합을 요구하면서, 이 연합을 정복하려는 제국주의자들의 모든 노력에 저항할만큼 강력한 연합을 요구하면서 이같은 상황이 바뀌었습니다. 놀랍게도 그들의 부름은 많은 관심을 받았습니다.;The people of India are diverse, consisting of numerous cultures and languages throughout the sub-continent. Seldom has there been any serious credence given to the idea of a single union crossing all cultural boundaries, save by force of arms. This has recently changed, with Indian nationalists in $COUNTRY$ calling for a true union -- one powerful enough to resist all imperialist efforts to conquer it. Surprisingly, their calls have received a great deal of attention.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC97111;인도 사람들은 다양하게 아대륙 전역에 걸쳐 수많은 문화와 언어로 이루어져 있습니다. 무력을 제외하고 모든 문화적 경계를 초월한 단일연합을 수립할 수 있다고 진지하게 믿은 사람은 거의 없었습니다. 최근 국내 인도 민족주의자들이 진정한 연합을 요구하면서, 이 연합을 정복하려는 제국주의자들의 모든 노력에 저항할만큼 강력한 연합을 요구하면서 이같은 상황이 바뀌었습니다. 놀랍게도 그들의 부름은 많은 관심을 받았으며, 이러한 통일민족주의는 빠르게 퍼졌습니다.The people of India are diverse, consisting of numerous cultures and languages throughout the sub-continent. Seldom has there been any serious credence given to the idea of a single union crossing all cultural boundaries, save by force of arms. This has recently changed, with nationalists in $FROMCOUNTRY$ calling for a true India -- one united and powerful enough to resist all imperialist efforts to conquer it. Surprisingly, their calls have received a great deal of attention in $COUNTRY$ and this unified nationalism has been rapidly spreading.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME97115;마하라자 타계;Death of the Maharajah;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97115;란지트 싱의 타계와 함께 시크 제국 지도부에 생긴 공석은 쉽게 채워지지 않을 것입니다. 마하라자의 후계자는 몇달만에 의심스러운 사망을 맞았습니다. 뒤를 이을 후계자가 그랬듯이, 모든 것은 권력을 위해 고군분투하던 왕자들과 펀자브 귀족들의 내분 때문입니다. 많은 사람들은 이 약점이 영국을 분명히 파멸시킬 것이라고 우려하고 있습니다.;With the death of Ranjit Singh, a vacancy has been left in the leadership of the Sikh Empire which will not be easily filled. The Maharajah's heir died suspiciously within months, as did the heir to follow, all due to infighting among the princes and the Panjabi nobility struggling to maintain power. Many fear this weakness will surely bring the British down upon the nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97116;란지트 싱의 타계와 함께 시크 제국 지도부에 생긴 공석은 쉽게 채워지지 않을 것입니다. 마하라자의 후계자는 몇달만에 의심스러운 사망을 맞았습니다. 뒤를 이을 후계자가 그랬듯이, 모든 것은 권력을 위해 고군분투하던 왕자들과 펀자브 귀족들의 내분 때문입니다. 시크교도들이 영국 국경으로 밀려들면서, 우리도 필연적으로 분쟁에 말려들 것 같습니다. 그리고 지금이 공격의 완벽한 적기라고 여기는 사람들도 있습니다.;With the death of Ranjit Singh, a vacancy has been left in the leadership of the Sikh Empire which will not be easily filled. The Maharajah's heir died suspiciously within months, as did the heir to follow, all due to infighting among the princes and the Panjabi nobility struggling to maintain power. As Sikhs pour into the British frontier, it seems we are inevitably drawn into the conflict -- and there are some who believe that now might be the perfect time to strike.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME97120;인도에서의 후퇴?;Retreat From India?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
