KEYNAME;TEXT;TEXT;;;;;;;;;;;;x;
news1;$TAG_2_0$ 정부의 평화제의 조건: $STRING_0_1$;The government of $TAG_2_0$ offered the peace with the following terms: $STRING_0_1$;;;;;;;;;;;;x;
some_fake_ANY_1;Vicious animal attack leaves community in shock, parents concerned with safety of their children demand action. ;Vicious animal attack leaves community in shock, parents concerned with safety of their children demand action. ;;;;;;;;;;;;x;
some_fake_ANY_title_2;Global cooling.;Global cooling.;;;;;;;;;;;;x;
some_fake_ANY_2;Scientists warn another ice age might be starting as recorded temperatures drop from year to year.;Scientists warn another ice age might be starting as recorded temperatures drop from year to year.;;;;;;;;;;;;x;
some_fake_ANY_title_3;Missing child found;Missing child found;;;;;;;;;;;;x;
some_fake_ANY_3;He was hiding in a barn! The missing child case resolved after extensive search by local volunteers discovers the child hiding in the nearby abandoned building.;He was hiding in a barn! The missing child case resolved after extensive search by local volunteers discovers the child hiding in the nearby abandoned building.;;;;;;;;;;;;x;
some_fake_ANY_title_5;Damsel brutally murdered;Damsel brutally murdered;;;;;;;;;;;;x;
some_fake_ANY_5;The horrifically-mutilated corpse of a damsel was discovered yesterday tied to a train track. The public is advised to be on the lookout for a man with a large moustache, a top hat and a black opera cloak.;The horrifically-mutilated corpse of a damsel was discovered yesterday tied to a train track. The public is advised to be on the lookout for a man with a large moustache, a top hat and a black opera cloak.;;;;;;;;;;;;x;
some_fake_ANY_title_6;Rabbit emerges from hat;Rabbit emerges from hat;;;;;;;;;;;;x;
some_fake_ANY_6;A man, who claimed to possess mystic powers, was seen to produce a rabbit from a top hat yesterday. He is currently being investigated on suspicion of unnatural practises.;A man, who claimed to possess mystic powers, was seen to produce a rabbit from a top hat yesterday. He is currently being investigated on suspicion of unnatural practises.;;;;;;;;;;;;x;
some_fake_ANY_title_7;A glimpse into the year 2000;A glimpse into the year 2000;;;;;;;;;;;;x;
some_fake_ANY_7;A prominent futurologist has granted an insight into the distant year 2000 A.D. Speaking to our futurology correspondent, he said "By 2000 each landed gentleman will own at least 5 hot-air balloons".;A prominent futurologist has granted an insight into the distant year 2000 A.D. Speaking to our futurology correspondent, he said "By 2000 each landed gentleman will own at least 5 hot-air balloons".;;;;;;;;;;;;x;
some_fake_ANY_title_8;News counterfeiting!;News counterfeiting!;;;;;;;;;;;;x;
some_fake_ANY_8;An Irish-man, a Pole, and a Prussian were arrested yesterday as part of an ongoing investigation into a shadowy cabal which concocted news stories and presented them as if they were factual.;An Irish-man, a Pole, and a Prussian were arrested yesterday as part of an ongoing investigation into a shadowy cabal which concocted news stories and presented them as if they were factual.;;;;;;;;;;;;x;
some_fake_ANY_title_9;12 Gored!;12 Gored!;;;;;;;;;;;;x;
some_fake_ANY_9;An enraged gentleman cow gored 5 men and 7 women to death yesterday. The gentleman cow, who had previously been of a gentle nature, was beheaded by a passing chimney-sweep.;An enraged gentleman cow gored 5 men and 7 women to death yesterday. The gentleman cow, who had previously been of a gentle nature, was beheaded by a passing chimney-sweep.;;;;;;;;;;;;x;
some_fake_ANY_title_10;Bridge collapse!;Bridge collapse!;;;;;;;;;;;;x;
some_fake_ANY_10;Claims the life of a butcher just outside our nation's capital. The bucther, who was a character of some repute in the locality in question, is survived by his brother, a baker, and a son who manufactures and sells candlesticks.;Claims the life of a butcher just outside our nation's capital. The bucther, who was a character of some repute in the locality in question, is survived by his brother, a baker, and a son who manufactures and sells candlesticks.;;;;;;;;;;;;x;
some_fake_ANY_title_11;Balkans quiet;Balkans quiet;;;;;;;;;;;;x;
some_fake_ANY_11;Serbs, Croats, Bosnians, Turks, Bulgarians, Romanians, Albanians and Greeks came together last Sunday to celebrate the great peace in which the Balkan peninsula presently bathes.;Serbs, Croats, Bosnians, Turks, Bulgarians, Romanians, Albanians and Greeks came together last Sunday to celebrate the great peace in which the Balkan peninsula presently bathes.;;;;;;;;;;;;x;
some_fake_ANY_title_12;Letter to the editor;Letter to the editor;;;;;;;;;;;;x;
some_fake_ANY_12;A reader calls attention to careless ferry pilots putting lives of passengers at risk with their reckless full speed driving and risky manoeuvres. ;A reader calls attention to careless ferry pilots putting lives of passengers at risk with their reckless full speed driving and risky manoeuvres. ;;;;;;;;;;;;x;
some_fake_ANY_title_13;The weather;The weather;;;;;;;;;;;;x;
some_fake_ANY_13;Probabilities for the next week: Cloudy and rainy, with north and north-east winds and lowering temperatures. ;Probabilities for the next week: Cloudy and rainy, with north and north-east winds and lowering temperatures. ;;;;;;;;;;;;x;
some_fake_ANY_title_14;Tragic city fire;Tragic city fire;;;;;;;;;;;;x;
some_fake_ANY_14;Fire Department blamed for demonstrating a lack of discipline and efficiency allowing fire to spread across multiple blocks leading to the biggest and most tragic city fire to date. ;Fire Department blamed for demonstrating a lack of discipline and efficiency allowing fire to spread across multiple blocks leading to the biggest and most tragic city fire to date. ;;;;;;;;;;;;x;
some_fake_ANY_title_15;Fishhook robbery!;Fishhook robbery!;;;;;;;;;;;;x;
some_fake_ANY_15;Police inform us that a robber managed to steal a substantial amount of money from a  teller's desk at a local bank using a fishhook and a stick while the teller was being distracted by an accomplice.;Police inform us that a robber managed to steal a substantial amount of money from a  teller's desk at a local bank using a fishhook and a stick while the teller was being distracted by an accomplice.;;;;;;;;;;;;x;
some_fake_ANY_title_16;Let them jump!;Let them jump!;;;;;;;;;;;;x;
some_fake_ANY_16;If children have to be still it's a torture for them, scientists claim. Rapid movement of body being the correct expression of joy at very young age should be encouraged not frowned upon. ;If children have to be still it's a torture for them, scientists claim. Rapid movement of body being the correct expression of joy at very young age should be encouraged not frowned upon. ;;;;;;;;;;;;x;
some_fake_ANY_title_17;Wooden pavements;Wooden pavements;;;;;;;;;;;;x;
some_fake_ANY_17;A new describes chemical processes of hardening wood to increase its endurance beyond that of traditional building materials. Should city boards begin paving streets with wooden panels?;A new describes chemical processes of hardening wood to increase its endurance beyond that of traditional building materials. Should city boards begin paving streets with wooden panels?;;;;;;;;;;;;x;
some_fake_ANY_title_18;Life without food?;Life without food?;;;;;;;;;;;;x;
some_fake_ANY_18;A man claiming he can abstain from food for at least 30 days and retain full physical and mental fitness challenges physicians to subject his abilities to a test. ;A man claiming he can abstain from food for at least 30 days and retain full physical and mental fitness challenges physicians to subject his abilities to a test. ;;;;;;;;;;;;x;
some_fake_ANY_title_19;Deadly fever;Deadly fever;;;;;;;;;;;;x;
some_fake_ANY_19;Two sailors from a brig returning from tropical areas are reported to have died of an unknown fever. They experienced severe chills followed by extreme thirst and delusions until both eventually perished.;Two sailors from a brig returning from tropical areas are reported to have died of an unknown fever. They experienced severe chills followed by extreme thirst and delusions until both eventually perished.;;;;;;;;;;;;x;
some_fake_ANY_title_20;Artificial diamonds;Artificial diamonds;;;;;;;;;;;;x;
some_fake_ANY_20;A European chemist claims by the process known only to himself he managed to coat an ordinary crystal with a surface resembling in every respect that of a real diamond. ;A European chemist claims by the process known only to himself he managed to coat an ordinary crystal with a surface resembling in every respect that of a real diamond. ;;;;;;;;;;;;x;
some_fake_ANY_title_22;Letter from God;Letter from God;;;;;;;;;;;;x;
some_fake_ANY_22;One of the poor members of our society receiving a charity letter marked as "from God" responded by giving thanks for the money received, but warns the deity against tax levy and post office theft.;One of the poor members of our society receiving a charity letter marked as "from God" responded by giving thanks for the money received, but warns the deity against tax levy and post office theft.;;;;;;;;;;;;x;
some_fake_ANY_title_23;Medical news;Medical news;;;;;;;;;;;;x;
some_fake_ANY_23;Top European doctors have speculated that smoke from factory stacks could be responsible for the increased level of respiratory problems seen amongst children.;Top European doctors have speculated that smoke from factory stacks could be responsible for the increased level of respiratory problems seen amongst children.;;;;;;;;;;;;x;
some_fake_ANY_title_24;Vampyre hysteria;Vampyre hysteria;;;;;;;;;;;;x;
some_fake_ANY_24;Another outbreak of vampyre hysteria has occurred in Romanian lands. Superstitious peasants have taken to daubing their necks with garlic in a bid to ward off the nefarious ghouls.;Another outbreak of vampyre hysteria has occurred in Romanian lands. Superstitious peasants have taken to daubing their necks with garlic in a bid to ward off the nefarious ghouls.;;;;;;;;;;;;x;
some_fake_ANY_title_25;Wolves kill four;Wolves kill four;;;;;;;;;;;;x;
some_fake_ANY_25;A pack of wolves raided a town in Siberia last week and killed four of the inhabitants. Armed policemen have been dispatched to the area to hunt down the lupine beasts.;A pack of wolves raided a town in Siberia last week and killed four of the inhabitants. Armed policemen have been dispatched to the area to hunt down the lupine beasts.;;;;;;;;;;;;x;
some_fake_ANY_title_26;Horrific puppets;Horrific puppets;;;;;;;;;;;;x;
some_fake_ANY_26;Ghastly puppets have become a generally accepted part of daily life. The latest terrifying abomination to make its presence felt is a smiling wooden boy with a fixed grin, styled 밄imbo?;Ghastly puppets have become a generally accepted part of daily life. The latest terrifying abomination to make its presence felt is a smiling wooden boy with a fixed grin, styled 밄imbo?;;;;;;;;;;;;x;
some_fake_ANY_title_27;Drinking contest;Drinking contest;;;;;;;;;;;;x;
some_fake_ANY_27;Irish-man Bill Whelan bested rivals from Russia and Scotland in an alcohol-consuming contest in New York last week. He attributed his victory to 몊heer love of booze?from his hospital bed.;Irish-man Bill Whelan bested rivals from Russia and Scotland in an alcohol-consuming contest in New York last week. He attributed his victory to 몊heer love of booze?from his hospital bed.;;;;;;;;;;;;x;
some_fake_ANY_title_28;Oldest man;Oldest man;;;;;;;;;;;;x;
some_fake_ANY_28;Respected gentleman Jimmy Williams has been named oldest man alive. Williams, from American뭩 deep south, politely entreated reporters from this news-paper to remove themselves from his lawn.;Respected gentleman Jimmy Williams has been named oldest man alive. Williams, from American뭩 deep south, politely entreated reporters from this news-paper to remove themselves from his lawn.;;;;;;;;;;;;x;
some_fake_ANY_title_29;BANK ROBBERY!;BANK ROBBERY!;;;;;;;;;;;;x;
some_fake_ANY_29;Local bank in $ANYPROVINCE$ has been invaded by a masked gang of ne'er-do-wells. The police are searching for the criminals and is granting a reward for any information leading to their capture.;Local bank in $ANYPROVINCE$ has been invaded by a masked gang of ne'er-do-wells. The police are searching for the criminals and is granting a reward for any information leading to their capture.;;;;;;;;;;;;x;
some_fake_ANY_title_30;Piano Cat on tour;Piano Cat on tour;;;;;;;;;;;;x;
some_fake_ANY_30;The famous feline pianist known simply as the Piano Cat is scheduled to arrive in $OURCAPITAL$ this week. The cat artist is expected to play a series of classical pieces.;The famous feline pianist known simply as the Piano Cat is scheduled to arrive in $OURCAPITAL$ this week. The cat artist is expected to play a series of classical pieces.;;;;;;;;;;;;x;
some_fake_ANY_title_31;Special Lectures;Special Lectures;;;;;;;;;;;;x;
some_fake_ANY_31;The Council of Science of $OURCAPITAL$ is to present a series of special lectures on the origins of civilisation in the Fertile Crescent. Special presentations of pottery shards from Tyre are planned.;The Council of Science of $OURCAPITAL$ is to present a series of special lectures on the origins of civilisation in the Fertile Crescent. Special presentations of pottery shards from Tyre are planned.;;;;;;;;;;;;x;
some_fake_ANY_title_32;HEED! HEED!;HEED! HEED!;;;;;;;;;;;;x;
some_fake_ANY_32;A storm of gigantic proportions is incoming. Instructions from Public Safety officials are: Do not sweep any chimneys during the storm. Accidents may occur if this warning is not heeded.;A storm of gigantic proportions is incoming. Instructions from Public Safety officials are: Do not sweep any chimneys during the storm. Accidents may occur if this warning is not heeded.;;;;;;;;;;;;x;
some_fake_ANY_title_34;Trade Summit;Trade Summit;;;;;;;;;;;;x;
some_fake_ANY_34;Current European and International Tariffs as well as protectionist practices will be discussed next Thursday in $OURCAPITAL$.;Current European and International Tariffs as well as protectionist practices will be discussed next Thursday in $OURCAPITAL$.;;;;;;;;;;;;x;
some_fake_ANY_title_35;Postal Convention;Postal Convention;;;;;;;;;;;;x;
some_fake_ANY_35;Today $OURCOUNTRY$ and foreign authorities are assembled to discuss postage fees for all letters sent overseas.;Today $OURCOUNTRY$ and foreign authorities are assembled to discuss postage fees for all letters sent overseas.;;;;;;;;;;;;x;
some_fake_ANY_title_36;Modern Coal Trade;Modern Coal Trade;;;;;;;;;;;;x;
some_fake_ANY_36;The free trade of coal for railway locomotives and eventually seafaring ships in the western world is being discussed today at the local Chamber of Commerce.;The free trade of coal for railway locomotives and eventually seafaring ships in the western world is being discussed today at the local Chamber of Commerce.;;;;;;;;;;;;x;
some_fake_ANY_title_37;Unlikely to become Cardinal;Unlikely to become Cardinal;;;;;;;;;;;;x;
some_fake_ANY_37;Unofficial comments from Pope's inner circle in Vatican denounce the rumors of the coming elevation of Archbishop as premature.;Unofficial comments from Pope's inner circle in Vatican denounce the rumors of the coming elevation of Archbishop as premature.;;;;;;;;;;;;x;
some_fake_ANY_title_38;General's funeral.;General's funeral.;;;;;;;;;;;;x;
some_fake_ANY_38;A former general and banker who died at his house last week to be buried today. Only his intimate friends will be present at the ceremony.;A former general and banker who died at his house last week to be buried today. Only his intimate friends will be present at the ceremony.;;;;;;;;;;;;x;
some_fake_ANY_title_39;Mountain top birth;Mountain top birth;;;;;;;;;;;;x;
some_fake_ANY_39;A woman who fell ill during ascension to the mountain top was taken by her two companions to a shelter 4000 feet above sea level to give birth to a healthy boy.;A woman who fell ill during ascension to the mountain top was taken by her two companions to a shelter 4000 feet above sea level to give birth to a healthy boy.;;;;;;;;;;;;x;
some_fake_ANY_title_40;Moral expansion?;Moral expansion?;;;;;;;;;;;;x;
some_fake_ANY_40;Can we allow history to record that we crushed foreign peoples' dreams of freedom by subjugating them to our government? Can we govern them without their consent?;Can we allow history to record that we crushed foreign peoples' dreams of freedom by subjugating them to our government? Can we govern them without their consent?;;;;;;;;;;;;x;
some_fake_ANY_title_41;Blackmailer arrested.;Blackmailer arrested.;;;;;;;;;;;;x;
some_fake_ANY_41;A former actor and an alleged deserter from the army was today jailed for annoying a famous actress with requests for money.;A former actor and an alleged deserter from the army was today jailed for annoying a famous actress with requests for money.;;;;;;;;;;;;x;
some_fake_ANY_title_42;Skirting evil;Skirting evil;;;;;;;;;;;;x;
some_fake_ANY_42;Fashion cannot dictate the dust of the sidewalks to be dragged into homes, a physician claims, and demands women abandon the new trend of wearing trailing skirts for health reasons.;Fashion cannot dictate the dust of the sidewalks to be dragged into homes, a physician claims, and demands women abandon the new trend of wearing trailing skirts for health reasons.;;;;;;;;;;;;x;
some_fake_ANY_title_43;Faith cure kills child;Faith cure kills child;;;;;;;;;;;;x;
some_fake_ANY_43;A 12 yearsold girl sick with dysentery died at a local hospital after parents replaced the family physician with a faith doctor.;A 12 yearsold girl sick with dysentery died at a local hospital after parents replaced the family physician with a faith doctor.;;;;;;;;;;;;x;
some_fake_ANY_title_44;Respect of Yardies gained!;Respect of Yardies gained!;;;;;;;;;;;;x;
some_fake_ANY_44;A local man from $ANYPROVINCE$ reports having beat down many men armed with rifles in a local pub. The man claimd the assailants put themselves at a disadvantage by using weapons.;A local man from $ANYPROVINCE$ reports having beat down many men armed with rifles in a local pub. The man claimd the assailants put themselves at a disadvantage by using weapons.;;;;;;;;;;;;x;
some_fake_ANY_title_45;Article review;Article review;;;;;;;;;;;;x;
some_fake_ANY_45;All newspaper articles to be subjected to a review by a special board to confirm their accuracy and truthfulness. In unrelated news: The journalist writing about wooden pavements has vanished.;All newspaper articles to be subjected to a review by a special board to confirm their accuracy and truthfulness. In unrelated news: The journalist writing about wooden pavements has vanished.;;;;;;;;;;;;x;
some_fake_ANY_title_46;Law discussed;Law discussed;;;;;;;;;;;;x;
some_fake_ANY_46;Lawyers from all over the country convened today in $OURCAPITAL$ to discuss eventual updates to the country's judiciary system in matters of civil and criminal law.;Lawyers from all over the country convened today in $OURCAPITAL$ to discuss eventual updates to the country's judiciary system in matters of civil and criminal law.;;;;;;;;;;;;x;
some_fake_ANY_title_48;The history of $OURCOUNTRY$;The history of $OURCOUNTRY$;;;;;;;;;;;;x;
some_fake_ANY_48;A definitive multivolume work on the history of the $OURCOUNTRY$ civilization has finally been completed. Leading historians proclaim it the greatest reference yet, true to our heroic deeds.;A definitive multivolume work on the history of the $OURCOUNTRY$ civilization has finally been completed. Leading historians proclaim it the greatest reference yet, true to our heroic deeds.;;;;;;;;;;;;x;
some_fake_ANY_title_49;Bach Concert;Bach Concert;;;;;;;;;;;;x;
some_fake_ANY_49;A dash of nostalgia for all enthusiasts of music. A collection of Bach's most famous pieces will be played by the $OURCOUNTRY$ National Orchestra next week in the Grand Concert Hall of $OURCAPITAL$. ;A dash of nostalgia for all enthusiasts of music. A collection of Bach's most famous pieces will be played by the $OURCOUNTRY$ National Orchestra next week in the Grand Concert Hall of $OURCAPITAL$. ;;;;;;;;;;;;x;
some_fake_ANY_title_50;Stone delivered;Stone delivered;;;;;;;;;;;;x;
some_fake_ANY_50;Inhabitants of $ANYPROVINCE$ puzzled by the delivery of gigantic pieces of marble from abroad. Rumour has it that a new grandiose monument will be built in the capital's main square.;Inhabitants of $ANYPROVINCE$ puzzled by the delivery of gigantic pieces of marble from abroad. Rumour has it that a new grandiose monument will be built in the capital's main square.;;;;;;;;;;;;x;
some_fake_ANY_title_51;Mechanical contraptions;Mechanical contraptions;;;;;;;;;;;;x;
some_fake_ANY_51;Gadgets of various sorts will play an increasingly large part in everyday life, according to a top boffin who heads the engineering department at $OURCAPITAL$ university.;Gadgets of various sorts will play an increasingly large part in everyday life, according to a top boffin who heads the engineering department at $OURCAPITAL$ university.;;;;;;;;;;;;x;
some_fake_ANY_title_52;Blacksmith dead;Blacksmith dead;;;;;;;;;;;;x;
some_fake_ANY_52;A blacksmith was kicked to death by a horse he was attempting to shoe in $ANYPROVINCE$ yesterday.;A blacksmith was kicked to death by a horse he was attempting to shoe in $ANYPROVINCE$ yesterday.;;;;;;;;;;;;x;
some_fake_ANY_title_53;Solar eclipse;Solar eclipse;;;;;;;;;;;;x;
some_fake_ANY_53;Readers are politely reminded that a solar eclipse is due to occur this coming Friday. The temporary phenomenon is no cause for panic or work stoppages.;Readers are politely reminded that a solar eclipse is due to occur this coming Friday. The temporary phenomenon is no cause for panic or work stoppages.;;;;;;;;;;;;x;
some_fake_ANY_title_54;Monocle sales plateau;Monocle sales plateau;;;;;;;;;;;;x;
some_fake_ANY_54;Monocle sales, which have been rising for decades, appear to have levelled out. Orders have held steady through the last quarter.;Monocle sales, which have been rising for decades, appear to have levelled out. Orders have held steady through the last quarter.;;;;;;;;;;;;x;
some_fake_ANY_title_55;Time travel;Time travel;;;;;;;;;;;;x;
some_fake_ANY_55;A prominent author of penny dreadfuls has put forth the idea that man could move backwards and forwards through time, appearing at various dates in the past and present.;A prominent author of penny dreadfuls has put forth the idea that man could move backwards and forwards through time, appearing at various dates in the past and present.;;;;;;;;;;;;x;
some_fake_ANY_title_56;Literacy;Literacy;;;;;;;;;;;;x;
some_fake_ANY_56;Literacy is at an all-time high across the globe, new figures show. Previously the preserve of the clergy and noble classes, it is now seen even amongst the common labourer and fairer sex.;Literacy is at an all-time high across the globe, new figures show. Previously the preserve of the clergy and noble classes, it is now seen even amongst the common labourer and fairer sex.;;;;;;;;;;;;x;
some_fake_ANY_title_57;Public 몊cience?lecture;Public 몊cience?lecture;;;;;;;;;;;;x;
some_fake_ANY_57;Aspiring natural philosophers are advised that a lecture on geology, or the study of rock formations, will take place in the $OURCAPITAL$ auditorium on Tuesday next. Admission is ?.;Aspiring natural philosophers are advised that a lecture on geology, or the study of rock formations, will take place in the $OURCAPITAL$ auditorium on Tuesday next. Admission is ?.;;;;;;;;;;;;x;
some_fake_ANY_title_58;Meeting interrupted;Meeting interrupted;;;;;;;;;;;;x;
some_fake_ANY_58;A political club was invaded by campaigners for equality of the sexes yesterday. The womens' husbands have been reprimanded by the constabulary for neglecting to control their wives.;A political club was invaded by campaigners for equality of the sexes yesterday. The womens' husbands have been reprimanded by the constabulary for neglecting to control their wives.;;;;;;;;;;;;x;
some_fake_ANY_title_59;The English Man;The English Man;;;;;;;;;;;;x;
some_fake_ANY_59;The Englishman maintains a stiff upper lip, has a strong sense of fair play and is an advocate of liberty. Inventive, graceful and witty, he cuts a striking figure amongst the nationalities.;The Englishman maintains a stiff upper lip, has a strong sense of fair play and is an advocate of liberty. Inventive, graceful and witty, he cuts a striking figure amongst the nationalities.;;;;;;;;;;;;x;
some_fake_ANY_title_60;Wave of Influenza;Wave of Influenza;;;;;;;;;;;;x;
some_fake_ANY_60;Flu sweeps $OURCOUNTRY$. There are already many reported infections throughout the land. Laymen fear a pandemic might be coming, while experts assure it's just a seasonal occurrence.;Flu sweeps $OURCOUNTRY$. There are already many reported infections throughout the land. Laymen fear a pandemic might be coming, while experts assure it's just a seasonal occurrence.;;;;;;;;;;;;x;
some_fake_ANY_title_61;Hoarde uncovered;Hoarde uncovered;;;;;;;;;;;;x;
some_fake_ANY_61;The remnants of an old coin hoard were found in $ANYPROVINCE$ this week. Authorities mention many pieces of golden coinage discovered by a farmer plowing a field after heavy rain.;The remnants of an old coin hoard were found in $ANYPROVINCE$ this week. Authorities mention many pieces of golden coinage discovered by a farmer plowing a field after heavy rain.;;;;;;;;;;;;x;
some_fake_ANY_title_62;Metric Nonsense;Metric Nonsense;;;;;;;;;;;;x;
some_fake_ANY_62;According to a British statesman, the Imperial System is the way of the future: 'This French Metric nonsense is bound to never catch on' he claims.;According to a British statesman, the Imperial System is the way of the future: 'This French Metric nonsense is bound to never catch on' he claims.;;;;;;;;;;;;x;
GOODS_PRICE_UP_TITLE_LARGE;물가 상승!;PRICES RISE!;;;;;;;;;;;;x;
GOODS_PRICE_UP_LARGE;지난 $VALUE_INT_0_0$개월 동안 $STRING_0_1$의 가격이 꾸준히 상승했습니다. 전 세계 자본가들과 기업가들은 끊임없이 증가하는 시장의 수요를 충족시키기 위해 $STRING_0_1$의 추가 생산에 안간힘을 쓰고 있습니다.;In the last $VALUE_INT_0_0$ months the price of $STRING_0_1$ has steadily risen. Capitalists and Entrepreneurs worldwide scramble to produce more $STRING_0_1$ to meet the ever-increasing demands of the market.;;In den letzten $VALUE_INT_0_0$ Monaten ist der Preis von $STRING_0_1$ konstant gestiegen. Kapitalisten und Handwerker rotieren weltweit, um mehr $STRING_0_1$ zu produzieren, um die Nachfrage zu befriedigen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GOODS_PRICE_UP_TITLE_MEDIUM;물가 상승!;PRICES RISE!;;;;;;;;;;;;x;
GOODS_PRICE_UP_MEDIUM;$VALUE_INT_0_0$ 년 마지막 달, $STRING_0_1$ 의 물가가 지속적으로 상승했다. 자본가들과 장인들은 전 세계적으로 늘어나는 수요를 충족하기 위해 더 많은 $STRING_0_1$ 의 생산에 박차를 가했다.;In the last $VALUE_INT_0_0$ months the price of $STRING_0_1$ has steadily risen. Capitalists and Artisans worldwide scramble to produce more $STRING_0_1$ to meet the ever-increasing demands of the market.;;;;;;;;;;;;x;
GOODS_PRICE_UP_TITLE_SMALL;물가 상승!;PRICES RISE!;;;;;;;;;;;;x;
GOODS_PRICE_UP_SMALL;$VALUE_INT_0_0$ 년 마지막 달, $STRING_0_1$ 의 물가가 지속적으로 상승했다!;In the last $VALUE_INT_0_0$ months the price of $STRING_0_1$ has steadily risen!;;;;;;;;;;;;x;
GOODS_PRICE_DOWN_TITLE_LARGE;물가 붕괴!;PRICES COLLAPSE!;;;;;;;;;;;;x;
GOODS_PRICE_DOWN_LARGE;$VALUE_INT_0_0$ 년 마지막 달, $STRING_0_1$ 의 물가가 바위처럼 추락했다! 전 세계적으로 $STRING_0_1$ 의 물가가 추락하자 자본가들과 장인들은 자신들의 손실을 만회하기 위해 제품군을 옮겨 다른 상품을 생산하기 위해 노력하고 있다.;In the last $VALUE_INT_0_0$ months the price of $STRING_0_1$ has dropped like a rock! Worldwide, producers of $STRING_0_1$ are desperately trying to shift their production to other goods to make up for their losses.;;;;;;;;;;;;x;
GOODS_PRICE_DOWN_TITLE_MEDIUM;물가 붕괴!;PRICES COLLAPSE!;;;;;;;;;;;;x;
GOODS_PRICE_DOWN_MEDIUM;$VALUE_INT_0_0$ 년 마지막 달, $STRING_0_1$ 의 물가가 바위처럼 추락했다! 전 세계적으로 $STRING_0_1$ 의 물가가 추락하자 자본가들과 장인들은 자신들의 손실을 만회하기 위해 제품군을 옮겨 다른 상품을 생산하기 위해 노력하고 있다.;In the last $VALUE_INT_0_0$ months the price of $STRING_0_1$ has dropped like a rock! Worldwide, producers of $STRING_0_1$ are desperately trying to shift their production to other goods to make up for their losses;;;;;;;;;;;;x;
GOODS_PRICE_DOWN_TITLE_SMALL;물가 붕괴!;PRICES COLLAPSE!;;;;;;;;;;;;x;
GOODS_PRICE_DOWN_SMALL;$VALUE_INT_0_0$ 년 마지막 달, $STRING_0_1$ 의 물가가 바위처럼 추락했다!;In the last $VALUE_INT_0_0$ months the price of $STRING_0_1$ has dropped like a rock!;;;;;;;;;;;;x;
REVOLUTION_NEWS_TITLE_LARGE;$TAG_0_0_UPPER$ 혁명!;REVOLUTION IN $TAG_0_0_UPPER$!;;;;;;;;;;;;x;
REVOLUTION_NEWS_LARGE;$TAG_0_0$ 혁명이 성공했다! $STRING_0_0$ 세력은 정부군을 물리치고 국가를 전복시켰다. 이제 $TAG_0_0$ 국가는 $STRING_0_4$ 의 통제 하에 있게 되었다. '우리는 정부를 인수하여, 시민들이 기대하는 $STRING_0_3$ 개혁안을 즉각 반영할 것'이라고 발표했다. '우리는 불량국가가 되지 않으며, 우리의 국제적인 동반자들과 더 평등한 관계를 추구할 계획 입니다.' 정부 관계자는 이전 정부가 발행한 계약과 보증을 인정하는 것이 새 여당의 장애물이 되고 있다고 언급했다.;A revolution has taken place in $TAG_0_0$! $STRING_0_0$ have defeated the government's forces and broken the country. $TAG_0_0$ is now under the control of the $STRING_0_4$. 'As we take over the government, citizens can expect immediate reforms reflecting our $STRING_0_3$ values', they announced. 'We are not a rogue state, we only plan to pursue more equal relations with our international partners', a government official commented, challenged about new ruling party's intentions to back down on the agreements and assurances issued by the previous administration.;;;;;;;;;;;;x;
REVOLUTION_NEWS_TITLE_MEDIUM;$TAG_0_0_UPPER$ 혁명!;REVOLUTION IN $TAG_0_0_UPPER$!;;;;;;;;;;;;x;
REVOLUTION_NEWS_MEDIUM;$TAG_0_0$ 혁명이 성공했다! $STRING_0_0$ 세력은 정부군을 물리치고 국가를 전복시켰다. 이제 $TAG_0_0$ 국가는 $STRING_0_4$ 의 통제 하에 있게 되었다. '우리는 정부를 인수하여, 시민들이 기대하는 $STRING_0_3$ 개혁안을 즉각 반영할 것'이라고 발표했다.;A revolution has taken place in $TAG_0_0$! $STRING_0_0$ have defeated the government's forces and broken the country. $TAG_0_0$ is now under the control of the $STRING_0_4$. 'Citizens can expect immediate reforms reflecting our $STRING_0_3$ values', they announced.;;;;;;;;;;;;x;
REVOLUTION_NEWS_TITLE_SMALL;혁명!;REVOLUTION!;;;;;;;;;;;;x;
REVOLUTION_NEWS_SMALL;$TAG_0_0$ 혁명이 성공했다! $STRING_0_0$ 세력은 정부군을 물리치고 국가를 전복시켰다.;A revolution has taken place in $TAG_0_0$! $STRING_0_0$ have defeated the government's forces and broken the country.;;;;;;;;;;;;x;
INVENTION_NEWS_TITLE_LARGE;발명!;INVENTION!;;;;;;;;;;;;x;
INVENTION_NEWS_LARGE;$TAG_0_0$ 과학자와 기술자들이 $STRING_0_1$ 의 발명에 성공했음을 보고했다. ;Scientists and engineers in $TAG_0_0$ are reported to have invented $STRING_0_1$. ;;;;;;;;;;;;x;
INVENTION_NEWS_TITLE_MEDIUM;발명!;INVENTION!;;;;;;;;;;;;x;
INVENTION_NEWS_MEDIUM;$TAG_0_0$ 과학자와 기술자들이 $STRING_0_1$ 의 발명에 성공했음을 보고했다. ;Scientists and engineers in $TAG_0_0$ are reported to have invented $STRING_0_1$. ;;;;;;;;;;;;x;
INVENTION_NEWS_TITLE_SMALL;발명!;Invention!;;;;;;;;;;;;x;
