CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AT_WAR_TENSION_DECAY;$COUNTRY$ 전시 상황: 쬨$VAL$쬦;$COUNTRY$ is at war: 쬨$VAL$쬦;$COUNTRY$ befindet sich im Krieg: 쬨$VAL$쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;두 국가의 여단 수 차이 > 쬨$VAL$쬦\n;Brigades comparison factor of two countries is at least 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;두 국가의 여단 수 차이 < 쬨$VAL$쬦\n;Brigades comparison factor of two countries is less than 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;쬨$CASUS$쬦 전쟁명분;쬨$CASUS$쬦 Casus Belli;Casus Belli 쬨$CASUS$쬦mithilfe des 쬨$CASUS$쬦 Casus Belli;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_3;$RECIPIENT$ 항구에서;have placed gunboats in the ports of;a positionn쬦des canonni쬦es dans les ports de;hat Kanonenboote in den H쬦en von;;ha emplazado ca쬦neras en los puertos de;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_4;포함 외교를 통해;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$ positioniert und zwingt sie,;;$RECIPIENT$;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_5;차관의 상환을 요구했습니다.;forcing them to start paying back their loans.;pour les obliger 쬦rembourser leurs emprunts.;mit der R쬦kzahlung ihrer Schulden zu beginnen.;;para obligarles a empezar a devolver los pr쬦tamos.;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_6;이제 그들은 매일마다 쬨$VALUE$쬦� 의 차관을 갚아야 합니다.;they will pay off 쬨$VALUE$쬦쬦each day.;Ils rembourseront 쬨$VALUE$쬦쬦par jour.;Sie werden t쬦lich 쬨$VALUE$쬦쬦0zur쬦kzahlen.;;Nos pagar쬦 쬨$VALUE$쬦 al d쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_BTN1;확인;확인;OK;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_BTN3;참조;Goto;Voir;Goto;;Ir all쬦;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;;$MESSENGER$;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_LOG;$ACTOR$이(가) $RECIPIENT$에게 포함 외교를 행했습니다!;$ACTOR$ is using gunboats to force $RECIPIENT$ to pay their debt!;$ACTOR$ utilise des canonni쬦es pour obliger $RECIPIENT$ 쬦rembourser sa dette !;$ACTOR$ setzt Kanonenbootpolitik ein, um $RECIPIENT$ zur R쬦kzahlung der Schulden zu zwingen!;;쬦ACTOR$ est쬦usando sus ca쬦neras para obligar a $RECIPIENT$ a pagar sus deudas!;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_OTHER_ACCEPT_SETUP;한 국가가 다른 국가에게 포함 외교를 행했을 때;When a nation is using gunboat diplomacy against another nation;Si une nation utilise la diplomatie de la canonni쬦e contre une;Wenn eine Nation Kanonenbootdiplomatie gegen eine andere Nation einsetzt.;;Cuando una naci쬦 usa la 'diplomacia de los ca쬦nes' contra otra naci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_SETUP_DESC;$RECIPIENT$은(는) 쬨$AMOUNT$쬦의 이자를 포함해 차관을 상환해야 합니다. 세율 또한 쬨$LOW_TAX$쬦-쬨$HIGH_TAX$쬦 사이로 고정됩니다.;$RECIPIENT$ will be forced to start paying back their loans with 쬨$AMOUNT$쬦 amounts. Furthermore their taxes will be locked between 쬨$LOW_TAX$쬦 and 쬨$HIGH_TAX$쬦.;$RECIPIENT$ devra commencer 쬦rembourser ses emprunts en versant des montants de 쬨$AMOUNT$쬦. De plus, ses taxes seront verrouill쬦s entre 쬨$LOW_TAX$쬦 et 쬨$HIGH_TAX$쬦.;$RECIPIENT$ wird gezwungen, ihre Anleihen von 쬨$AMOUNT$쬦 zur쬦kzuzahlen. Weiterhin werden ihre Steuern zwischen 쬨$LOW_TAX$쬦 und 쬨$HIGH_TAX$쬦 festgesetzt.;;$RECIPIENT$ se ver쬦en la obligaci쬦 de pagar sus pr쬦tamos en plazos de 쬨$AMOUNT$쬫. Adem쬦, sus impuestos quedar쬦 fijados entre 쬨$LOW_TAX$쬫 y 쬨$HIGH_TAX$쬫.;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_1;포함 외교!;Gunboat Diplomacy!;Diplomatie de la canonni쬦e !;Kanonenbootdiplomatie;;좱a diplomacia de las ca쬦neras!;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_2;우리 해군이 $RECIPIENT$의 항구에서;We have placed gunboats in the ports of;Nous avons positionn쬦des canonni쬦es dans les ports de;Wir haben Kanonenbooten in den H쬦en von;;Hemos emplazado ca쬦neras en los puertos de;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_3;포함 외교를 총해;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$ positioniert, und zwingen sie dadurch,;;$RECIPIENT$;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_4;차관의 상환을 요구했습니다.;forcing them to start paying back their loans.;pour les obliger 쬦rembourser leurs emprunts.;mit der R쬦kzahlung ihrer Schulden zu beginnen.;;para obligarles a empezar a devolver los pr쬦tamos.;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_5;이제 그들은 매일마다 쬨$VALUE$쬦� 의 차관을 갚아야 합니다.;they will pay off 쬨$VALUE$쬦쬦each day.;Ils rembourseront 쬨$VALUE$쬦쨛ar jour.;Sie werden t쬦lich 쬨$VALUE$쬦쬦zur쬦kzahlen.;;Nos pagar쬦 쬨$VALUE$쬦 al d쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_6;*;*;*;;*;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_BTN1;드디어!;About time!;Il serait temps !;Wurde auch Zeit!;;죀a era hora!;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_BTN3;참조;Goto;Voir;Goto;;Ir all쬦;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;;$MESSENGER$;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_LOG;우리나라가 $RECIPIENT$에게 포함 외교를 행했습니다!;We are using gunboats to force $RECIPIENT$ to pay their debt!;Nous utilisons des canonni쬦es pour obliger $RECIPIENT$ 쬦rembourser sa dette !;Wir setzen Kanonenbootpolitik ein, um $RECIPIENT$ zur R쬦kzahlung der Schulden zu zwingen!;;좪stamos usando nuestras ca쬦neras para obligar a $RECIPIENT$ a pagar sus deudas!;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_THEY_ACCEPT_SETUP;우리나라가 다른 국가에게 포함 외교를 행했을 때;When we use gunboat diplomacy on someone;Si nous usons de la diplomatie de la canonni쬦e contre un pays;Wir wir Kanonenbootdiplomatie gegen ein Land einsetzen.;;Cuando usamos la diplomacia de las ca쬦neras contra alguien;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_1;포함 외교!;Gunboat Diplomacy!;Diplomatie de la canonni쬦e !;Kanonenbootdiplomatie!;;좱a diplomacia de las ca쬦neras!;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_2;$ACTOR$이(가);$ACTOR$;$ACTOR$;$ACTOR$;;$ACTOR$;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_3;우리 항구에서;have placed gunboats in our ports;a positionn쬦des canonni쬦es dans nos ports;hat Kanonenboote in unseren H쬦en positioniert;;ha emplazado ca쬦neras en nuestros puertos;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_4;차관의 상환을 요구했습니다.;and demand that we start paying back our loans;et exige que nous commencions 쬦rembourser nos emprunts;und verlangt, dass wir mit der R쬦kzahlung unserer Schulden beginnen.;;y exige que comencemos a devolver nuestros pr쬦tamos;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_5;이제 매일마다 쬨$VALUE$쬦� 의 차관을 갚아야 합니다.;with 쬨$VALUE$쬦쬦each day.;쬦hauteur de 쬨$VALUE$쬦쨛ar jour.;Wir sollen t쬦lich 쬨$VALUE$쬦쬦zur쬦kzahlen.;;a raz쬦 de 쬨$VALUE$쬦쬦al d쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_BTN1;공짜 점심은 이제 없다!;No more free lunch!;Finis les d쬦euners gratuits !;Nichts gibt es mehr umsonst!;;좸e acab쬦el almuerzo gratis!;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_BTN3;참조;Goto;Voir;Goto;;Ir all쬦;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;;$MESSENGER$;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_LOG;$ACTOR$이(가) 우리나라에게 포함 외교를 행했습니다!;$ACTOR$ is using gunboats to force us to pay back our debt!;$ACTOR$ utilise des canonni쬦es pour nous obliger 쬦rembourser notre dette !;$ACTOR$ setzt Kanonenbootpolitik ein, um uns zur R쬦kzahlung unserer Schulden zu zwingen!;;쬦ACTOR$ est쬦usando sus ca쬦neras para obligarnos a pagar nuestras deudas!;;;;;;;;;x;;;;;;;;;;;;;;;;
GUNBOAT_WE_ACCEPT_SETUP;한 국가가 우리나라에게 포함 외교를 행했을 때;Someone used gunboat diplomacy on us;Quelqu'un a us쬦de la diplomatie de la canonni쬦e contre nous;Ein Land hat Kanonenbootdiplomatie gegen uns eingesetzt.;;Alguien ha utilizado contra nosotros la diplomacia de las ca쬦neras.;;;;;;;;;x;;;;;;;;;;;;;;;;
GUN_POWER;화력;Attack;Attaque;Angriff;;Ataque;;;;;;;;;x;;;;;;;;;;;;;;;;
GUN_RANGE;사거리;Range;Autonomie;Reichweite;;Autonom쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_1;세계대전 발명!;Great Wars discovered!;D쬦ouverte des Grandes Guerres !;Gro쬦 Kriege sind nun m쬦lich!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_2;이제부터 각각의 진영에;From now, each war that includes;D쬦ormais, toute guerre impliquant;Von nun an, wird jeder Krieg, bei dem;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_3;둘 이상의 강대국이 참여한 전쟁은;at least two great countries;au moins deux grandes Nations;mindestens 2 Gro쬦쬦hte;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_4;쬨세계대전쬦으로;on each side, will get the status of;de chaque c쬦쬦 obtient le statut de;sich auf jeder Seite befinden, den Status eines;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_5;전환됩니다.;쬨The Great War쬦;쬨Grande Guerre쬦;Grossen Krieges haben!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_6;*;*;*;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_BTN1;확인;OK;D'accord;OK;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_BTN2;확인;OK;D'accord;OK;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_BTN3;참조;Go to;Voir;Gehe zu;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_HEADER;세계대전 활성화!;Great Wars discovered!;D쬦ouverte des Grandes Guerres !;Gro쬦 Kriege sind nun m쬦lich;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_LOG;세계대전이 활성화됐습니다.;Great Wars discovered;D쬦ouverte des Grandes Guerres;Gro쬦 Kriege sind nun bekannt;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_DISCOVERED_SETUP;세계대전이 활성화됐을 때;When the Great Wars are discovered.;Quand les Grandes Guerres sont d쬦ouvertes.;Wenn Gro쬦 Kriege m쬦lich sind;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GW_INTERVENE_MIN_RELATIONS;쬨$TARGET$쬦과(와)의 관계가 쬒$MIN$쬦보다 높아야 합니다. 현재 관계는 쬨$VAL$쬦입니다.;Our relations with 쬨$TARGET$쬦 must be at least 쬒$MIN$쬦. Currently it is 쬨$VAL$쬦.;Nos relations avec 쬨$TARGET$쬦 doivent 쬦re d'au moins 쬒$MIN$쬦. Actuellement elles sont de 쬨$VAL$쬦.;Unsere Beziehungen mit 쬨$TARGET$쬦 muss zumindest 쬒$MIN$쬦 betragen. Gegenw쬦tig liegt sie bei 쬨$VAL$쬦.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HALFYEAR;6개월;Half Year;Semestriel;Halbes Jahr;Co p車 roku;Semestre;Semestre;F쬦쬦;P쬦 roku;;;;;;x;;;;;;;;;;;;;;;;
HARD;어려움;Hard;Difficile;Schwierig;Trudna ;Dif쬦il;Difficile;Neh쬦;T쬦k쬦;;;;;x;;;;;;;;;;;;;;;;
HAS;O: ;Has ;a ;Hat ;;Tiene ;;;;;;;;;x;;;;;;;;;;;;;;;;
HASCBON;$LIST$에 영유권이 있습니다.;Has claims on $LIST$.;Revendique $LIST$.;Hat Anspr쬦he auf $LIST$.;;Tiene pretensiones en $LIST$.;;;;;;;;;x;;;;;;;;;;;;;;;;
HASGUARANT;이미 독립을 보장하고 있습니다.;We are already guaranteeing them.;Nous nous portons d쬦쬦garants pour eux.;Wir haben schon eine Garantie f쬦 sie proklamiert.;Gwarantuj퉏 im niepodleg쿽쒏, uzyskujemy casus belli wzgl쬦em tych, kt쬦zy wypowiedz쬦wojn쬦temu krajowi.;Ya los estamos garantizando.;Proclamarsi garante di una nazione ci fornir쬦un Casus Belli nei confronti di chiunque dichiarer쬦guerra a quella nazione.;A biztos쬦쬦 v쬦lal쬦a egyben h쬦or쬦 ind쬦쬦ot is jelent azon nemzetek ellen, aki sz쬦ets쬦esedet megt쬦adja.;Vyhl쬦en쬦garance n쬦 poskytne z쬦inku k v쬦ce s k쬦koliv, kdo vyhl쬦쬦v쬦ku jim.;;;;;;x;;;;;;;;;;;;;;;;
HAS_COLONIES; 식민제국\n;is a colonial nation.\n;est une nation coloniale.\n;ist eine Kolonialnation.\n;;es una naci쬦 colonial.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_CRISIS; 분쟁 지역;There is a current crisis;;Es gibt momentan einen Konflikt;;;;;;;;x;;;;;;;;;;;;;;;;;;;
HAS_CULTURAL_SPHERE; 문화권 있음;Has a cultural sphere;;besitzt einen kulturellen Einflussbereich;;;;;;;;x;;;;;;;;;;;;;;;;;;;
HAS_CULTURE_CORE; $WHERE$의 문화적 기반: $CUL$\n;$CUL$ is a core-culture of $WHERE$.\n;$CUL$ est une culture de base de $WHERE$.\n;$CUL$ ist eine Kernkultur von $WHERE$.\n;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_CULTURE_UNION; 문화연합 있음;Has culture union;A la culture syndicale;Besitzt kulturelle Unionen;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_FACTORIES; 공장이 있습니다.\n;Has factories.\n;Dispose d'usines.\n;Hat Fabriken.\n;;Tiene f쬦ricas.\n;;;;;;;;x;;;;;;;;;;;;;;;;;
HAS_FLASHPOINT; 화약고 있음;Has flashpoint;;Hat einen Unruheherd;;;;;;;;x;;;;;;;;;;;;;;;;;;;
HAS_GOODS; 생산함: ;produces ;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
HAS_GOODS_IN_STATE; 주 내에서 $GOODS$을(를) 생산합니다.;Producing $GOODS$ in state.;;Produziert $GOODS$ im Staat.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
HAS_LESS_STATE_THAN; 주 개수 < ;Has number of States < ;Nombre d'쬦ats <;besitzt eine Staatsanzahl von <;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NATIONAL_VALUE; 국가제일가치: 쬨$NATIONALVALUE$쬦;National value is 쬨$NATIONALVALUE$쬦.;La valeur nationale est 쬨$NATIONALVALUE$쬦.;Nationalwert ist 쬨$NATIONALVALUE$쬦. ;;El valor nacional es 쬨$NATIONALVALUE$쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NOT; X: ;Has NOT ;N'a PAS ;Hat nicht ;;No tiene ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NOT_CULTURAL_SPHERE; 문화권 없음;Does NOT have a cultural sphere;;besitzt KEINEN kulturellen Einflussbereich;;;;;;;;x;;;;;;;;;;;;;;;;;;;
HAS_NOT_CULTURE_CORE; $WHERE$의 문화적 기반 아님: $CUL$\n;$CUL$ is NOT a core-culture of $WHERE$.\n;$CUL$ n'est PAS une culture de base de $WHERE$.\n;$CUL$ ist KEINE Kernkultur von $WHERE$.\n;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NOT_CULTURE_UNION; 문화연합 없음;Has NO culture union;N'a pas de culture syndicale;Besitzt KEINE kulturellen Unionen;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NOT_GOODS; 생산하지 않음: ;does not produce ;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
HAS_NOT_RECENTLY_LOST_WAR; 최근 5년간 패전하지 않았습니다.;Have NOT lost a war in the last five years.;N뭥nt perdu AUCUNE guerre au cours des cinq ann쬦s pass쬦s.;Verlor keinen Krieg in den letzten 5 Jahren.;;NO ha perdido una guerra en los 쬦timos cinco a쬦s.;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NOT_TECH_SCHOOL; 기술학파 아님 쬨$TECH$쬦\n;Not embracing 쬨$TECH$쬦.\n;Ne pas opter pour 쬨$TECH$쬦.\n;Folgt nicht: 쬨$TECH$쬦.\n;;No apoya 쬨$TECH$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NOT_TERRAIN; 지형 아님:;Terrain is not;Le terrain n'est pas;Gel쬦de ist nicht;;El terreno no es;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NO_COLONIES; 비식민제국\n;is not a colonial nation.\n;n'est pas une nation coloniale.\n;ist keine Kolonialnation.\n;;no es una naci쬦 colonial.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NO_CRISIS; 비분쟁 지역;There is no current crisis;;Es gibt momentan keinen Konflikt;;;;;;;;x;;;;;;;;;;;;;;;;;;;
HAS_NO_FACTORIES; 공장이 없습니다.\n;Has NO factories.\n;Ne dispose d'AUCUNE usine.\n;Hat KEINE Fabriken.\n;;NO tiene f쬦ricas.\n;;;;;;;;x;;;;;;;;;;;;;;;;;
HAS_NO_FLASHPOINT; 화약고 없음;Has no flashpoint;;Hat keinen Unruheherd;;;;;;;;x;;;;;;;;;;;;;;;;;;;
HAS_NO_GOODS_IN_STATE; 주 내에서 $GOODS$을(를) 생산하지 않습니다.;Is not producing $GOODS$ in state.;;Produziert kein(e) $GOODS$ im Staat.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
HAS_NO_TRUCE_WITH; 비휴전국: ;Have no truce with ;N'observe pas de tr쬦e avec ;Hat keine Waffenruhe mit ;;No tiene tregua con ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_NO_UNION_TAG; 문화연합 없음;has NO culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_RECENTLY_LOST_WAR; 최근 5년간 패전했었습니다.;Have lost a war in the last five years..;Ont perdu une guerre au cours des cinq ann쬦s pass쬦s.;Verlor einen Krieg in den letzten 5 Jahren.;;Ha perdido una guerra en los 쬦timos cinco a쬦s.;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_STATES_GREATER_EQ; 주 개수 ≥ ;Has number of States ≥ ;Nombre d'쬦ats ≥ ;besitzt eine Staatsanzahl von ≥;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_TERRAIN; 지형:;Terrain is;Le terrain est;Gel쬦de ist;;El terreno es;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_TRUCE_WITH; 휴전국: ;Have truce with ;Observe une tr쬦e avec ;Hat Waffenruhe mit ;;Tiene tregua con ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAS_UNION_TAG; 문화연합 있음;has culture union;a la culture syndicale;besitzt kulturelle Unionen;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE; O: ;Have ;Ont ;Haben ;;Tiene ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVENT_CONTROL_OVER; 미통제: ;Do NOT control ;Ne contr쬦ent pas ;Keine Kontrolle haben 쬦er;;No controla ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVENT_CORE; 영유권 보유하지 않음: ;Do NOT have a core in ;N'ont pas de territoire cl쬦dans ;Keine Kernprovinz haben in;;No tiene un n쬦leo en ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A; O: ;Have a ;A un(e) ;Verf쬦ung;;Tiene ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_ALLIANCE_WITH; 동맹국: ;Allied with ;Sont alli쬦 avec ;B쬦dnis haben mit ;;Aliado con ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_ANY_NEIGHBOR; 인접국 있음;Have at least one neighbor;Ont au moins un voisin;Nachbarn haben;;Tiene al menos un vecino;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_AT_LEST_ONE_OWNED_NEIGHBORING_PROVINCE; 인접 지역:;Have at least one owned neighboring province such that:;D쬦iennent au moins une province voisine telle que :;Mindestens eine besetzte Nachbarprovinz;;Tiene al menos una provincia adyacente como:;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_ARMY_LARGER_THAN; 육군 규모 ≥ ;Total army size at least ;Taille totale de l'arm쬦 d'au moins ;Gr秤ere Armee haben als ;;Tama쬦 total del ej쬦cito al menos ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_ARMY_SMALLER_THAN; 육군 규모 < ;Have an army smaller than ;Ont une arm쬦 plus petite que ;Kleinere Armee haben als ;;Tiene un ej쬦cito menor que ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_NAVY_LARGER_THAN; 해군 규모 ≥ ;Total navy size at least ;Taille totale de la marine d'au moins ;Gr秤ere Marine haben als ;;Tama쬦 total de la armada al menos ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_NAVY_SMALLER_THAN; 해군 규모 < ;Have a navy smaller than ;Ont une marine plus petite que  ;Kleinere Marine haben als ;;Tiene una armada menor que ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_PERCENTAGE_OF_OVERSEAS_PROVINCE_LARGER_THAN; 해외 지역 비율 ≥ ;Overseas province percentage at least ;Le pourcentage de provinces d'outre-mer est d'au moins ;Gr秤eren Prozentsatz an 쬦erseeprovinzen haben als ;;Porcentaje de provincias de ultramar al menos ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_PERCENTAGE_OF_OVERSEAS_PROVINCE_SMALLER_THAN; 해외 지역 비율 < ;Overseas province percentage smaller than ;Le pourcentage de provinces d'outre-mer est inf쬦ieur 쬦;Geringeren Prozentsatz an 쬦erseeprovinzen haben als ;;Porcentaje de provincias de ultramar menor que ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_PORT_IN; 항구 있음: ;Have a port in ;Dispose d'un port 쬦;Hat einen Hafen in ;;Tiene un puerto en ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_UNITS_WITH_A_LEADER; 지휘관을 배치한 부대가 있습니다.;Have a unit with a leader;Ont une unit쬦avec un chef;Einheit mit einem Anf쬦rer haben;;Tiene una unidad con un l쬦er;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_A_X_INY; $Y$에 $X$이(가) 있음;Have a $X$ in $Y$;Ont un(e) $X$ en $Y$;Ein $X$ in $Y$ haben;;Tiene un(a) $X$ en $Y$;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_CASUS_BELLI_AGAINST; 영유권 주장 있음: ;Have claims against ;Revendiquent ;Kriegsgrund haben gegen ;;Tiene reivindicaciones contra ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_CONTROL_OVER; 통제권 보유함: ;Control ;Contr쬦ent ;Kontrolle haben 쬦er;;Control ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_CORE_IN; 영유권 보유함: ;Have a core in ;Ont un territoire cl쬦dans ;Kernprovinz haben in;;Tiene un n쬦leo en ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_COUNTRY_FLAG; 국가적 표시 있음: ;Have the country flag ;Ont le drapeau national ;Nationalflagge haben;;Tiene la bandera nacional ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_DIPLOMATIC_INFLUENCE; 보유 외교점 > ;has more diplomatic influence than;a plus d'influence diplomatique que;hat mehr diplomatischen Einfluss als;;tiene m쬦 influencia diplom쬦ica que;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_DIPLOMATIC_RELATION; 관계: ;has a relation of;entretient une relation de;hat eine Beziehung von;;tiene una relaci쬦 de;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_GLOBAL_FLAG; 지구적 표시 있음: ;Have the global flag ;Dispose du drapeau mondial ;Hat die globale Flagge;;Tiene la bandera global ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_HIGHER_RANK_THAN; 총순위 > ;Higher rank than ;De rang sup쬦ieur 쬦;H쬦erer Rang als ;;Clasificaci쬦 mayor que ;;;;;;;;x;;;;;;;;;;;;;;;;;
HAVE_INDUSTRIAL_SCORE_MORE_THAN; 산업력 > ;Have a higher Industrial Score than: ;Dispose d'un meilleur score industriel que ;Erringen Sie eine h쬦ere industrielle Punktzahl als:;;Tiene una puntuaci쬦 industrial m쬦 alta que: ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_LESS_ALLIES_THAN; 동맹국 수 < ;Have fewer allies than ;Ont moins d'alli쬦 que ;Weniger Verb쬦dete haben als;;Tiene menos aliados que ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_LESS_BADBOY_THAN; 악명 < ;Have less 'badboy' than ;Ont moins d'infamie que ;Geringeren Aggressionswert haben als ;;Tiene menos 'tipo malo' que ;;;;;;;;;x;;;;;;;;;;;;;;;;
HAVE_LESS_CITIES_THAN; 도시 수 < ;Have less cities than ;Ont moins de villes que ;Weniger St쬦te haben als;;Tiene menos ciudades que ;;;;;;;;;x;;;;;;;;;;;;;;;;
