recent_raid_desc;이 지방은 최근 압수수색에 들어갔습니다. 집들은 불에 탔고, 식량은 부족하고, 사람들은 미래에 대해 걱정합니다.;;;;;;;;;;;;;
dhy_schools;다호메이 학교;;;;;;;;;;;;;
dhy_schools_desc;우리 나라의 문맹과 싸우기 위해, 우리는 국립 학교를 아프리카 최고의 학교로 발전시키는데 진지하게 투자했습니다.;;;;;;;;;;;;;
dhy_universities;다호메이 대학;;;;;;;;;;;;;
dhy_universities_desc;우리는 아프리카에서 가장 똑똑한 사람들을 만들기 위해 도시에 몇 개의 큰 대학을 설립했습니다.;;;;;;;;;;;;;
developing_homeland;본토 개발;;;;;;;;;;;;;
developing_homeland_desc;이 지방은 우리 조국의 일부이며 현재 우리나라의 자랑거리로써 개발되고 있습니다.;;;;;;;;;;;;;
maya_excavations;마야 발굴지들;;;;;;;;;;;;;
maya_excavations_desc;마야의 비밀이 우리를 기다립니다!;;;;;;;;;;;;;
mesopotamian_excavations;메소포타미아 발굴지들;;;;;;;;;;;;;
mesopotamian_excavations_desc;고대 메소포타미아인들의 비밀이 우리를 기다립니다!;;;;;;;;;;;;;
mycenaean_excavations;미케네 발굴지들;;;;;;;;;;;;;
mycenaean_excavations_desc;고대 그리스의 비밀이 우리를 기다립니다!;;;;;;;;;;;;;
minoan_excavations;미노스 발굴지들;;;;;;;;;;;;;
minoan_excavations_desc;고대 미노스인들의 비밀이 우리를 기다립니다!;;;;;;;;;;;;;
pompeji_excavations;폼페이 발굴지들;;;;;;;;;;;;;
pompeji_excavations_desc;폼페이의 비밀이 우리를 기다립니다!;;;;;;;;;;;;;
gateway_to_russia;러시아로 가는 관문;;;;;;;;;;;;;
janissary_rule;예니체리의 통치;;;;;;;;;;;;;
janissary_rule_desc;예니체리는 국가에 대한 권력을 장악하고 독재정권을 수립했습니다.;;;;;;;;;;;;;
janissary_system;예니체리 체제;;;;;;;;;;;;;
university_athens;아테네 대학;;;;;;;;;;;;;
university_athens_desc;헬라스에서 최초의 현대적이고 유명한 지식 기관입니다.;;;;;;;;;;;;;
thrace_boom;에노시스;;;;;;;;;;;;;
thrace_boom_desc;위대한 이상의 성취는 터키 주민들이 '거주'하는 지역에 그리스의 여러 지역에서 온 많은 정착민들을 정착시키게 만드었습니다.;;;;;;;;;;;;;
enosis_modifier;에노시스 성취;;;;;;;;;;;;;
enosis_modifier_desc;에노시스를 완료하여 사람들의 동화과정에 들어갔습니다.;;;;;;;;;;;;;
#goods.txt;;;;;;;;;;;;;;
military_goods;군수품;Biens militaires;Milit?g?er;;;;;;;;;;;
ammunition;탄약;Munitions;Munition;;;;;;;;;;;
small_arms;소화기;Petites armes;Handfeuerwaffen;;;;;;;;;;;
artillery;대포;Artillerie;Artillerie;;;;;;;;;;;
canned_food;통조림;Nourriture en bo?e;Konserven;;;;;;;;;;;
barrels;통;F?s;Gesch?zrohre;;;;;;;;;;;
aeroplanes;항공기;Avions;Flugzeuge;;;;;;;;;;;
gunpowder;화약;;;;;;;;;;;;;
raw_material_goods;원재료 상품;Mati?es premi?es;Rohmaterialen;;;;;;;;;;;
cotton;면;Coton;Baumwolle;;;;;;;;;;;
cotton_RGO_SIZE;면 농장 규모;Taille de la plantation de coton;Baumwollplantage-Gr秤e;;;;;;;;;;;
dye;염료;Colorant;Farbstoffe;;;;;;;;;;;
dye_RGO_SIZE;염료 농장 규모;Taille de la plantation de plantes tinctoriales;Farbstoffplantage-Gr秤e;;;;;;;;;;;
wool;양모;Laine;Wolle;;;;;;;;;;;
wool_RGO_SIZE;양 목장 규모;Taille de l'?evage de moutons;Schafsranch-Gr秤e;;;;;;;;;;;
silk;실크;Soie;Seide;;;;;;;;;;;
silk_RGO_SIZE;누에 목장 규모;Taille de l'?evage de vers ?soie;Seidenraupenfarm-Gr秤e;;;;;;;;;;;
coal;석탄;Charbon;Kohle;;;;;;;;;;;
coal_RGO_SIZE;석탄 광산 규모;Taille de la mine de charbon ;Kohlengrube-Gr秤e;;;;;;;;;;;
sulphur;유황;Soufre;Schwefel;;;;;;;;;;;
sulphur_RGO_SIZE;유황 광산 규모;Taille de la mine de soufre;Schwefelmine-Gr秤e;;;;;;;;;;;
iron;철;Fer;Eisen;;;;;;;;;;;
iron_RGO_SIZE;철 광산 규모;Taille de la mine de fer;Eisenerzmine-Gr秤e;;;;;;;;;;;
timber;목재;Bois;Holz;;;;;;;;;;;
timber_RGO_SIZE;목재 농장 규모;Taille de l'exploitation foresti?e;Holzf?lerlager-Gr秤e;;;;;;;;;;;
tropical_wood;열대우림목재;Bois exotique;Tropenholz;;;;;;;;;;;
tropical_wood_RGO_SIZE;열대우림목재 농장 규모;Taille de l'exploitation de bois exotique;Tropenholzf?lerlager-Gr秤e;;;;;;;;;;;
rubber;고무;Caoutchouc;Gummi;;;;;;;;;;;
rubber_RGO_SIZE;고무 농장 규모;Taille de l'exploitation de caoutchouc;Gummiplantage-Gr秤e;;;;;;;;;;;
oil;석유;P?role;?;;;;;;;;;;;
oil_RGO_SIZE;석유 유전 규모;Taille du puits de p?role;?bohrplattform-Gr秤e;;;;;;;;;;;
precious_metal;귀금속;M?al pr?ieux;Edelmetall;;;;;;;;;;;
precious_metal_RGO_SIZE;귀금속 광산 규모;Taille de la mine de m?aux pr?ieux;Edelmetallmine-Gr秤e;;;;;;;;;;;
copper;구리;;;;;;;;;;;;;
copper_RGO_SIZE;구리 광산 규모;;;;;;;;;;;;;
lead;Lead;;;;;;;;;;;;;
industrial_goods;산업용 상품;Biens industriels;Industrieg?er;;;;;;;;;;;
steel;강철;Acier;Stahl;;;;;;;;;;;
cement;시멘트;Ciment;Beton;;;;;;;;;;;
machine_parts;기계 부품;Pi?es d?ach?s;Maschinenteile;;;;;;;;;;;
glass;유리;Verre;Glas;;;;;;;;;;;
fuel;연료;Carburant;Treibstoff;;;;;;;;;;;
fertilizer;비료;Engrais;D?ger;;;;;;;;;;;
explosives;폭약;Explosifs;Sprengstoffe;;;;;;;;;;;
clipper_convoy;쾌속 수송 범선;Convoi de clippers;Klipper-Konvoi;;;;;;;;;;;
steamer_convoy;증기 수송선;Convoi de steamers;Dampfer-Konvoi;;;;;;;;;;;
electric_gear;전자 기어;Appareil ?ectrique;Elektroteile;;;;;;;;;;;
fabric;직물;Fabric;Tissu;Stoffe;;;;;;;;;;;
lumber;목재;Lumber;Bois;Schnittholz;;;;;;;;;;;
bronze;동;Bronze;;;;;;;;;;;;;
consumer_goods;소비재;Consumer Goods;Biens de consommation;Gebrauchsg?er;;;;;;;;;;;
paper;종이;Paper;Papier;Papier;;;;;;;;;;;
cattle;가축;Cattle;B?ail;Vieh;;;;;;;;;;;
cattle_RGO_SIZE;가축 목장 규모;Cattle ranch size;Taille de l'?evage de b?ail;Viehranchgr秤e;;;;;;;;;;;
fish;물고기;Fish;Poisson;Fische;;;;;;;;;;;
fish_RGO_SIZE;물고기 양식장 규모;Fishing wharf size;Taille du quai de p?he;Fischereihafen-Gr秤e;;;;;;;;;;;
fruit;과일;Fruit;Fruit;Fr?hte;;;;;;;;;;;
fruit_RGO_SIZE;과수원 규모;Orchard size;Taille du verger;Obstgarten-Gr秤e;;;;;;;;;;;
grain;곡물;Grain;C??les;Getreide;;;;;;;;;;;
grain_RGO_SIZE;곡물 논밭 규모;Grain farm size;Taille de la ferme c??li?e;Getreidefarm-Gr秤e;;;;;;;;;;;
tobacco;담배;Tobacco;Tabac;Tabak;;;;;;;;;;;
tobacco_RGO_SIZE;담배 농장 규모;Tobacco plantation size;Taille de la plantation de tabac;Tabakplantage-Gr秤e;;;;;;;;;;;
tea;차;Tea;Th?Tee;;;;;;;;;;;
tea_RGO_SIZE;차 농장 규모;Tea plantation size;Taille de la plantation de th?Teeplantage-Gr秤e;;;;;;;;;;;
coffee;커피;Coffee;Caf?Kaffee;;;;;;;;;;;
coffee_RGO_SIZE;커피 농장 규모;Coffee plantation size;Taille de la plantation de caf?Kaffeeplantage-Gr秤e;;;;;;;;;;;
opium;아편;Opium;Opium;Opium;;;;;;;;;;;
opium_RGO_SIZE;아편 농장 규모;Opium plantation size;Taille de la plantation d'opium;Opiumplantage-Gr秤e;;;;;;;;;;;
automobiles;자동차;Automobiles;Automobiles;Automobile;;;;;;;;;;;
telephones;전화기;Telephones;T??hones;Telefone;;;;;;;;;;;
wine;양조주;Wine;Vin;Wein;;;;;;;;;;;
liquor;증류주;Liquor;Alcool;Schnaps;;;;;;;;;;;
regular_clothes;일반의류;Regular Clothes;V?ements classiques;Kleidung;;;;;;;;;;;
luxury_clothes;고급의류;Luxury Clothes;V?ements de luxe;Luxuskleidung;;;;;;;;;;;
furniture;가구;Furniture;Meubles;M?el;;;;;;;;;;;
luxury_furniture;고급가구;Luxury Furniture;Meubles de luxe;Luxusm?el;;;;;;;;;;;
radio;라디오;Radio;Radio;Radio;;;;;;;;;;;
financial_services;금융서비스;Financial Services;;;;;;;;;;;;;
electric_power;전력;Electric Power;;;;;;;;;;;;;
shares;주식;Shares;;;;;;;;;;;;;
cigarettes;종이담배;Cigarettes;;;;;;;;;;;;;
cigars;잎담배;Cigars;;;;;;;;;;;;;
horses;말;Horses;;;;;;;;;;;;;
shoes;신;Shoes;;;;;;;;;;;;;
boots;장화;Boots;;;;;;;;;;;;;
sugar;설탕;Sugar;;;;;;;;;;;;;
pharmaceuticals;의약품;Pharmaceuticals;;;;;;;;;;;;;
spices;향신료;Spices;;;;;;;;;;;;;
spices_RGO_SIZE;향신료 공장 규모;Spice Farm Size;;;;;;;;;;;;;
print;인쇄기;Print;;;;;;;;;;;;;
#governments.txt;;;;;;;;;;;;;;
proletarian_dictatorship;무산계급 독재제;Proletarian Dictatorship;Dictature prol?aire;Proletarische Diktatur;;;;;;;;;;;
proletarian_dictatorship_ruler;서기장 동지;Chairman;Pr?ident;Vorsitzender;;;;;;;;;;;
presidential_dictatorship;대통령 독재제;Presidential Dictatorship;Dictature pr?identielle;Pr?idiale Diktatur;;;;;;;;;;;
presidential_dictatorship_ruler;대통령 각하;President;Pr?ident;Pr?ident;;;;;;;;;;;
bourgeois_dictatorship;유산계급 독재제;Bourgeois Dictatorship;Dictature bourgeoise;B?gerliche Diktatur;;;;;;;;;;;
bourgeois_dictatorship_ruler;의장 각하;President;Pr?ident;Pr?ident;;;;;;;;;;;
fascist_dictatorship;파쇼독재제;Fascist Dictatorship;Dictature fasciste;Faschistische Diktatur;;;;;;;;;;;
fascist_dictatorship_ruler;총통 각하;Great Leader;Great Leader;F?rer;;;;;;;;;;;
feudal_monarchy;봉건군주제;Feudal Monarchy;;;;;;;;;;;;;
feudal_monarchy_ruler;대군주 폐하;Your Majesty;;;;;;;;;;;;;
absolute_monarchy;전제군주제;Absolute Monarchy;Monarchie absolue;Absolute Monarche;;;;;;;;;;;
absolute_monarchy_ruler;대군주 폐하;Your Majesty;Votre Majest?K?ig;;;;;;;;;;;
prussian_constitutionalism;입헌군주제;Constitutional Monarchy;Monarchie constitutionelle;Preu?scher Konstitutionalismus;;;;;;;;;;;
prussian_constitutionalism_ruler;수상 각하;Chancellor;Chancellier;Kanzler;;;;;;;;;;;
hms_government;의회군주제;Parliamentary Monarchy;Monarchie parlementaire;Ihrer Majest? Regierung;;;;;;;;;;;
hms_government_ruler;총리 각하;Prime Minister;Premier Ministre;Premierminister;;;;;;;;;;;
democracy;공화제;Republic;Republique;Republik;;;;;;;;;;;
democracy_ruler;집정관 각하;Consul;Consul;Consul;;;;;;;;;;;
theocracy;신정제;Theocracy;;;;;;;;;;;;;
theocracy_ruler;신관 성하;Your Holiness;;;;;;;;;;;;;
merchant_republic;상인공화제;Merchant Republic;;;;;;;;;;;;;
merchant_republic_ruler;도제 각하;Your Excellency;;;;;;;;;;;;;
#ideologies.txt;;;;;;;;;;;;;;
fascist_group;파쇼주의 정당;Fascist parties;Partis fascistes;faschistischen Parteien;;;;;;;;;;;
fascist;파쇼주의;Fascist;Fasciste;Faschistisch;;;;;;;;;;;
fascist_uh;파쇼들은 사회개혁의 시행과 정치개혁의 후퇴를 지지하나, 여당이 아니라면 모든 개혁에 반대하려 합니다.;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des r?ormes sociales et le retrait des r?ormes politiques ?condition que le parti dirigeant partage leur id?logie.;Faschisten unterst?zen die Ausweitung von Sozialreformen und die Au?rkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;;;;;;;;;;
conservative_group;보수주의-반동주의 정당;Conservative & Reactionary parties;Partis conservateurs et r?ctionnaires;konservativen & reaktion?en Parteien;;;;;;;;;;;
reactionary;반동주의;Reactionary;R?ctionnaire;Reaktion?;;;;;;;;;;;
reactionary_uh;반동주의자들은 항상 정치개혁과 사회개혁의 후퇴를 시도합니다.;Reactionaries always attempt to roll back both political and social reforms.;Les r?ctionnaires sont toujours contre les r?ormes.;Reaktion?e versuchen stets, Reformen r?kg?gig zu machen.;;;;;;;;;;;
conservative;보수주의;Conservative;Conservateur;Konservativ;;;;;;;;;;;
conservative_uh;보수주의자들은 현상 유지를 선호하나, 불만도가 높다면 개혁의 시행을 지지할 것입니다.;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs pr??ent le statu quo, mais peuvent soutenir les r?ormes en cas d'extr?e n?essit?;Konservative bevorzugen den Status Quo, k?nen aber in extremen Situationen Reformen unterst?zen.;;;;;;;;;;;
socialist_group;사회주의-공산주의 정당;Socialist & Communist parties;Partis socialistes et communistes;sozialistischen & kommunistischen Parteien;;;;;;;;;;;
socialist;사회주의;Socialist;Socialiste;Sozialistisch;;;;;;;;;;;
socialist_uh;사회주의자들은 사회개혁의 시행을 원하지만, 불만도가 높다면 정치개혁의 시행도 지지할 것입니다.;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de r?ormes sociales.;Sozialisten sind an zus?zlichen Sozialreformen interessiert.;;;;;;;;;;;
communist;공산주의;Communist;Communiste;Kommunistisch;;;;;;;;;;;
communist_uh;공산주의자들은 사회개혁의 시행과 정치개혁의 후퇴를 원합니다.;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de r?ormes sociales et le retrait des r?ormes politiques.;Kommunisten sind an zus?zlichen Sozialreformen interessiert, setzen sich aber f? die Au?rkraftsetzung von Politikreformen ein.;;;;;;;;;;;
liberal_group;자유주의-아나르코자본주의 정당;Liberal & Anarcho-Liberal parties;Partis lib?aux et lib?aux-anarchistes;liberalen & anarcho-liberalen Parteien;;;;;;;;;;;
liberal;자유주의;Liberal;Lib?al;Liberal;;;;;;;;;;;
liberal_uh;자유주의자들은 정치개혁의 시행을 원하지만, 불만도가 높다면 사회개혁의 시행도 지지할 것입니다.;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;Les lib?aux veulent davantage de r?ormes politiques.;Liberale sind an zus?zlichen Politikreformen interessiert.;;;;;;;;;;;
anarcho_liberal;아나르코자본주의;Anarcho Liberal;Lib?al anarchiste;Anarcho-Liberal;;;;;;;;;;;
anarcho_liberal_uh;아나르코자본주의자들은 사회개혁의 후퇴를 원하며, 어떤 종류의 개혁도 지지하지 않을 것입니다.;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;Les anarcho-lib?aux veulent davantage de r?ormes politiques et le retrait des r?ormes sociales.;Anarcho-Liberale sind an zus?zlichen Politikreformen interessiert, setzen sich aber f? die Au?rkraftsetzung von Sozialreformen ein.;;;;;;;;;;;
social_liberal;사회자유주의;Social Liberal;;;;;;;;;;;;;
social_liberal_uh;때로 '신자유주의자'로 불리는 사회자유주의자들은 사회개혁뿐만 아니라 정치개혁에도 찬성하는 새로운 종류의 자유주의자입니다.;The 'New Liberals', as they are sometimes called, are a new breed of liberals who are in favor of both political as well as social reform.;;;;;;;;;;;;;
minor_group;소수정당;Minor parties;;;;;;;;;;;;;
separatist;분리주의자;Separatist;;;;;;;;;;;;;
separatist_uh;분리주의자들은 국가개선의 모든 시도를 포기했습니다. 그들은 오직 독립을 원하며, 모든 개혁에 반대할 것입니다.;Separatists have abandoned all attempts at national improvement. They only want independence, and will vote against all reforms.;;;;;;;;;;;;;
subordinate;복종;Subordinate;;;;;;;;;;;;;
subordinate_uh;이들은 규칙에 순응하고 기꺼이 이 제도를 이용하려고 하는 노예입니다. 그들은 반항할 것 같지 않지만, 국가의 정치 체제에 아무런 기여도 하지 않습니다.;These are slaves who are compliant and willing to work with the system. They are unlikely to rebel, but contribute nothing to the country's political system.;;;;;;;;;;;;;
insubordinate;불복종;Insubordinate;;;;;;;;;;;;;
insubordinate_uh;이들은 반항적이고 주인에게 복종하기를 꺼리는 노예들이지만, 그렇다고 해도 국가의 정치 체제에는 아무런 기여도 하지 않습니다.;These are slaves who are rebellious and unwilling to obey their owners, but even so contribute nothing to the country's political system.;;;;;;;;;;;;;
#issues.txt;;;;;;;;;;;;;;
party_issues;정당 쟁점;Party Issues;Probl?es de parti;Parteiangelegenheiten;;;;;;;;;;;
trade_policy;무역정책;Trade Policy;Politique commerciale;Handelspolitik;;;;;;;;;;;
protectionism;보호무역주의;Protectionism;Protectionnisme;Protektionismus;;;;;;;;;;;
protectionism_l;보호무역주의;Protectionism;Protectionnisme;Protektionismus;;;;;;;;;;;
protectionism_desc;국가간의 무역을 제한합니다.;Trade between nations is restricted.;Le commerce entre les ?ats est limit?;Der Handel zwischen Staaten ist eingeschr?kt.;;;;;;;;;;;
free_trade;자유무역주의;Free Trade;Libre ?hange;Handelsfreiheit;;;;;;;;;;;
free_trade_l;자유무역주의;Free Trade;Libre ?hange;Freihandel;;;;;;;;;;;
free_trade_desc;정부가 무역에 간섭하지 않습니다.;Traders are able to act and transact without interference from the government.;Les marchands peuvent commercer sans interf?ence du gouvernement.;H?dler k?nen ihre Gesch?te ohne Einmischung der Regierung betreiben.;;;;;;;;;;;
economic_policy;경제정책;Economic Policy;Politique ?onomique;Wirtschaftspolitik;;;;;;;;;;;
laissez_faire;방임주의;Laissez Faire;Laissez-faire;Laissez Faire;;;;;;;;;;;
laissez_faire_l;방임주의;Laissez Faire;Laissez-faire;Laissez Faire;;;;;;;;;;;
laissez_faire_desc;산업에 간섭하지 않습니다.;Industry is free from government interference;Le gouvernement n'interf?e pas dans l'industrie;Die Regierung mischt sich nicht in die Industrie ein.;;;;;;;;;;;
interventionism;개입주의;Interventionism;Interventionnisme;Interventionismus;;;;;;;;;;;
interventionism_l;개입주의;Interventionism;Interventionnisme;Interventionismus;;;;;;;;;;;
interventionism_desc;자유시장경제가 기본이나 국익에 필요한 경우 경제에 개입합니다.;In general this is a free market economy but the government reserves the right to intervene when the national interest requires it.;En g??al, il s'agit d'une ?onomie de libre ?hange, mais le gouvernement se r?erve le droit d'intervenir lorsque l'int?? national l'exige.;Im Allgemeinen ist dies eine Freihandelswirtschaft, aber die Regierung beh?t sich das Eingriffsrecht zum Wohle der Nation vor.;;;;;;;;;;;
state_capitalism;국가자본주의;State Capitalism;Capitalisme d'?at;Staatskapitalismus;;;;;;;;;;;
state_capitalism_l;국가자본주의;State Capitalism;Capitalisme d'?at;Staatskapitalismus;;;;;;;;;;;
state_capitalism_desc;경제활동의 대부분을 통제합니다. 하지만 한정적으로 사기업도 인정합니다.;The State controls the commanding heights of the economy but limited free enterprise is allowed.;L'?at contr?e les sph?es dirigeantes de l'?onomie, mais une certaine libre entreprise est autoris?.;Der Staat steuert die Wirtschaft, freie Marktwirtschaft wird aber mit Einschr?kungen gestattet.;;;;;;;;;;;
planned_economy;계획경제;Planned Economy;?onomie planifi?;Planwirtschaft;;;;;;;;;;;
planned_economy_l;계획경제;Planned Economy;?onomie planifi?;Planwirtschaft;;;;;;;;;;;
planned_economy_desc;재화와 서비스의 생산과 소비에 대해 전부 관여합니다.;The government makes all decisions on the production and consumption of goods and services.;Le gouvernement prend toutes les d?isions sur la production et la consommation des biens et des services.;Die Regierung trifft s?tliche Entscheidungen hinsichtlich der Produktion und des Verbrauchs von G?ern und Dienstleistungen.;;;;;;;;;;;
agrarianism;전원주의;Agrarianism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrarianism_l;전원주의;Agrarianism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrarianism_desc;전원생활이 도시생활보다 우월하다고 믿는 사회철학입니다. 모든 종류의 공장과 산업화는 단념해야 합니다.;A social philosophy which believes rural life is superior to urban life. Factories and industrialization of all kinds are to be discouraged.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
religious_policy;종교정책;Religious Policy;Politique religieuse;Religionspolitik;;;;;;;;;;;
pro_atheism;무신론;Atheism;Ath?sme;Atheismus;;;;;;;;;;;
pro_atheism_l;무신론;Atheism;Ath?sme;Atheismus;;;;;;;;;;;
pro_atheism_desc;종교계와 국가는 최종적으로 분리되며, 종교는 순수히 개인의 사생활입니다.;Total separation between church and state, religion is purely a private matter.;S?aration totale entre l'?lise et l'?at , la religion est une affaire purement priv?.;Totale Trennung zwischen Kirche und Staat - die Religion ist eine strikt private Angelegenheit.;;;;;;;;;;;
secularized;세속론;Secularized;S?ularisation;S?ularisation;;;;;;;;;;;
secularized_l;세속론;Secularized;S?ularisation;S?ularisation;;;;;;;;;;;
secularized_desc;종교가 국가와 명확히 분리됩니다. 그러나 국가는 전통적인 종교적 가치관에 경의를 표합니다.;Religion is not explicitly part of state policy, but the state tips it hat to traditional religious values.;La religion ne fait pas explicitement partie de la politique de l'?at, mais celui-ci respecte les valeurs religieuses traditionnelles.;Die Religion ist zwar nicht direkt Teil der Staatspolitik, doch der Staat erkennt die traditionellen religi?en Werte an.;;;;;;;;;;;
pluralism;다원론;Pluralism;Pluralisme;Pluralismus;;;;;;;;;;;
pluralism_l;다원론;Pluralism;Pluralisme;Pluralismus;;;;;;;;;;;
pluralism_desc;국교를 활발히 장려하나 이교에도 관용적입니다.;The state religion is actively promoted but other religions are tolerated.;La religion d'?at est activement promue, mais d'autres religions sont tol??s.;Die Staatsreligion wird aktiv gef?dert, aber andere Religionen werden auch toleriert.;;;;;;;;;;;
moralism;일신론;Moralism;Moralisme;Moralismus;;;;;;;;;;;
moralism_l;일신론;Moralism;Moralisme;Moralismus;;;;;;;;;;;
moralism_desc;종교와 국가가 일체화해 소수종교들을 차별합니다.;Church and state are a single body, and religious minorities face discrimiation.;L'?lise et l'?at forment une m?e entit?et les minorit? religieuses sont discrimin?s.;Kirche und Staat sind eine unzertrennbare Einheit und religi?e Minderheiten werden diskriminiert.;;;;;;;;;;;
citizenship_policy;시민권정책;Citizenship Policy;Politique de citoyennet?B?gerrechtspolitik;;;;;;;;;;;
residency;거류권;Residency;R?idence officielle;Residenz;;;;;;;;;;;
residency_l;거류권;Residency;R?idence officielle;Residenz;;;;;;;;;;;
residency_desc;핵심 문화에 속한 국민들에게만 투표를 허용합니다.;Only people of your nation's primary culture are allowed the vote.;Seule la population de la culture principale de votre nation est autoris? ?voter.;Nur Angeh?ige der Prim?kultur unserer Nation d?fen w?len.;;;;;;;;;;;
limited_citizenship;영주권;Limited Citizenship;Citoyennet?limit?;Eingeschr?ktes B?gerrecht;;;;;;;;;;;
limited_citizenship_l;영주권;Limited Citizenship;Citoyennet?limit?;Eingeschr?ktes B?gerrecht;;;;;;;;;;;
limited_citizenship_desc;핵심/수용 문화에 속한 국민들에게만 투표를 허용합니다.;Only people of your nation's primary and accepted cultures are allowed the vote.;Seule la population de la culture principale et de la culture accept? de votre nation est autoris? ?voter.;Nur Angeh?ige der Prim?kultur und der akzeptierten Kulturen unserer Nation d?fen w?len.;;;;;;;;;;;
full_citizenship;시민권;Full Citizenship;Pleine citoyennet?Volles B?gerrecht;;;;;;;;;;;
full_citizenship_l;시민권;Full Citizenship;Pleine citoyennet?Volles B?gerrecht;;;;;;;;;;;
full_citizenship_desc;모든 표의 가치가 같습니다.;Every vote is equal.;Chaque vote est ?uivalent.;Jede Stimme ist gleich.;;;;;;;;;;;
war_policy;War Policy;Politique de guerre;Kriegspolitik;;;;;;;;;;;
jingoism;주전주의;Jingoism;Chauvinisme;Hurrapatriotismus;;;;;;;;;;;
jingoism_l;주전주의;Jingoism;Chauvinisme;Hurrapatriotismus;;;;;;;;;;;
jingoism_desc;군사력을 국가에 있어 가장 중요한 요소로 여기므로 군비에 높은 우선순위를 부여합니다.;The military is the centrepiece of the state and military spending is prioritised.;L'arm? est la pi?e ma?resse de l'?at et les d?enses militaires sont privil?i?s.;Das Milit? ist das Kernst?k des Staats und der Wehretat hat oberste Priorit?.;;;;;;;;;;;
pro_military;찬전주의;Pro Military;Pro-militaire;Pro Milit?;;;;;;;;;;;
pro_military_l;찬전주의;Pro Military;Pro-militaire;Pro Milit?;;;;;;;;;;;
pro_military_desc;군부를 강력히 지원합니다.;The government is a strong supporter of the armed services.;Le gouvernement soutient les forces arm?s.;Die Regierung ist ein starker Unterst?zer der Streitkr?te.;;;;;;;;;;;
anti_military;반전주의;Anti Military;Anti-militaire;Anti-Milit?;;;;;;;;;;;
anti_military_l;반전주의;Anti Military;Anti-militaire;Anti-Milit?;;;;;;;;;;;
anti_military_desc;군대는 기본적으로 예산을 잡아먹는 존재입니다. 때문에 정부는 군과 관련된 모든 문제에 대해 강한 적의를 품고 있습니다.;The armed forces are a drain on the state coffers and the government feels money is better spent elsewhere.;Les forces arm?s gr?ent les finances de l'?at et le gouvernement estime que cet argent serait mieux utilis?ailleurs.;Die Streitkr?te belasten den Staatshaushalt und die Regierung ist der Ansicht, dass sie das Geld woanders besser einsetzen k?nte.;;;;;;;;;;;
pacifism;평화주의;Pacifism;Pacifisme;Pazifismus;;;;;;;;;;;
pacifism_l;평화주의;Pacifism;Pacifisme;Pazifismus;;;;;;;;;;;
pacifism_desc;정부의 정책에 군이 반대한다고 여겨 정부가 군과 관련된 모든 문제에 강한 적의를 품습니다.;The government is actively hostile to the interests of the military, feeling they are opposed to the government policies.;Le gouvernement est activement hostile aux int??s de l'arm? qu'il juge contraires ?ses politiques.;Die Regierung ist den Interessen des Milit?s gegen?er feindlich eingestellt und sieht sie als gegen die Regierungspolitik gerichtet an.;;;;;;;;;;;
political_reforms;정치개혁;Political Reforms;R?ormes politiques;Politische Reformen;;;;;;;;;;;
slavery;노예제;Slavery;Esclavage;Sklaverei;;;;;;;;;;;
yes_slavery;허용;Allowed;Autoris?Gestattet;;;;;;;;;;;
yes_slavery_l;노예제 허용;Slavery Allowed;Esclavage autoris?Sklaverei gestattet;;;;;;;;;;;
yes_slavery_desc;노예제를 허용합니다.;Slavery is allowed;L'esclavage est autoris?Sklaverei ist gestattet;;;;;;;;;;;
no_slavery;금지;Outlawed;Ill?al;Ge?htet;;;;;;;;;;;
no_slavery_l;노예제 금지;Outlaw Slavery;Esclavage interdit;Sklaverei ?hten;;;;;;;;;;;
no_slavery_desc;노예제를 금지합니다.;Slavery is forbidden;L'esclavage est interdit;Sklaverei ist ge?htet;;;;;;;;;;;
movement_no_slavery;노예제 폐지 운동;Abolitionist Movement;Mouvement abolitionniste;Anti-Sklaverei-Bewegung;;;;;;;;;;;
vote_franschise;투표 선거권;Vote Franchise;Droit de vote;Wahlrecht;;;;;;;;;;;
none_voting;투표 없음;No Voting;Aucun vote;Keine Wahlen;;;;;;;;;;;
none_voting_l;투표 없음;No Voting;Aucun vote;Keine Wahlen;;;;;;;;;;;
none_voting_desc;전국민의 투표를 금지합니다.;No one is allowed to vote.;Personne ne peut voter.;Niemand darf w?len.;;;;;;;;;;;
